dataset,species,n_samples,median_pct_lymph,iqr_lymph
RCAS PDGFB (ours),mouse,11,1.0083673031538296,2.0742427028311408
Soni mouse GBM,mouse,10,2.874876526149724,2.845113942680826
GBmap human GBM,human,40,0.4093633974477692,2.612860873689156
Suter human GBM,human,6,0.5974719060953526,0.9155198044596604
Nomura human GBM,human,108,1.260263555594059,1.3701360199742967
