umapnonneoplastic_1,umapnonneoplastic_2,SNN_clusters_nonNeoplastic
13.638319483143702,-5.521140807224955,25
5.611887445790187,-5.940442317082133,08
-7.249502191203221,-7.669338458134379,11
-9.115681180613622,-12.311009162022318,10
1.1611509827202715,-8.828295462681497,01
-7.928387174265965,-1.2248790198104045,02
-12.234114179270849,0.486773557112966,07
5.892212858540431,-6.700947993351664,08
10.121757021290676,-4.942583315922465,19
-8.550404081004247,-12.872769110752786,10
-12.982559690135108,0.2529417938454489,07
1.1900039819306292,7.042788750575338,14
3.5466067699021258,12.654195076869284,03
3.1548962501114763,-8.531539671971048,01
-0.587280580657109,-6.527645819737162,01
-7.6956915947371565,11.335379845546042,05
-9.29639864887534,-12.477376692845072,10
2.8404245284623064,8.805446869776999,14
0.661726942402736,-8.303172820164407,01
-8.606223592417821,-1.1201839380995888,02
1.989327779156581,-8.454464667393411,01
-3.9176302048140608,-2.1653296881453654,24
-7.725623616831883,-0.02802895094319777,02
4.023105612141506,13.53829026882485,03
2.7412993815964617,-8.751041167332376,01
4.077329388005153,13.499316460536276,03
4.315584173542873,-9.766077750279154,01
2.4258904365128435,3.278403527186666,09
2.9681596664017595,-8.736064665867532,01
2.212200394017116,7.018444306300435,14
5.727559557301418,-6.52499269778892,08
5.342355242115871,-8.588762038304056,08
1.8515753654068865,7.574511773036275,14
-8.127217778819189,-0.5139538579718729,02
-8.175669202464208,-0.7797015243308206,02
-11.807236203806982,0.09051041965321108,07
-8.456970700877294,-0.19156251187488035,02
5.421388616902248,-6.499632590367045,08
3.1927807239121355,-7.7956650191085,01
-8.500035771983251,0.11041973446444078,02
2.469099512440578,7.430672413752828,14
12.680839052540676,0.21819674138859316,17
-12.81287051166831,0.7238590783341269,07
5.298509111744777,-8.10979437167808,08
-8.701227674143896,0.06764523600176378,02
5.520227423054592,-6.559393160893168,08
-12.627696523326025,0.27575281922653716,07
-9.065576085703954,-0.7405880027548929,02
6.001328935963527,-7.739155047489848,08
-7.389029512065037,-7.808145278050151,11
-11.464047917979345,-0.3930248850123544,07
5.569684019429103,-8.096844428135599,08
-8.789198407786474,0.3046802050335745,02
-12.18203211750327,0.3375769323571066,07
-6.944985875743016,-8.193461173130716,11
-7.371911058085545,9.290502793238913,05
-9.415757665293798,-13.338687651707376,10
-11.330197820323097,-0.5160362058417459,07
-6.264728078501805,-8.945631735874857,11
-11.12065745319663,4.664318329737935,22
-8.618299970286474,-0.19893612797423796,02
2.65179823909463,13.714129692958153,03
-13.081427106516944,0.07368673299387499,07
-6.685937413828953,-0.0980945610539575,02
1.84931885276498,13.25935960476235,03
3.39415573154153,13.610079056666647,03
16.68952607188882,-2.9571511679427287,13
5.1044769195145525,-7.553627245976176,08
4.4299445060318865,12.75799585048989,03
-7.148303994792088,-1.0250993901030678,02
-7.961334714549168,-0.6872190767066141,02
-13.015121945994482,0.5614955491288046,07
-7.972446927683934,-13.672545188023294,10
3.341247310978786,-9.5958039694564,01
-7.797905454295262,-0.5534200602309366,02
-7.586766252177342,0.4872475928528647,02
-8.162220487254247,0.7790808147652487,02
2.715883245808498,13.016087777064596,03
5.360630503041164,-8.228926413609232,08
5.250306120259181,-8.139705412937845,08
-7.756141671794041,11.26124120418862,05
6.118740549427883,-7.439868205143656,08
3.488204231602565,-8.038697951389993,01
1.1178129223412432,-8.353455298496927,01
-7.151096353190526,-7.753376715733256,11
-8.115491399424657,11.269959694789206,05
-7.568436154978856,-1.4384471112029211,02
0.6245950368470109,-9.035587065769876,01
-10.146751889842138,6.746360070155416,21
5.563042154652492,8.04074502651528,20
-8.115817556040868,-0.23653011853858427,02
3.714207878453151,-9.170507186009134,01
-6.8952460380965315,-8.503658049656595,11
-6.799693593638524,11.382956749842917,05
-9.062084684031593,-12.26391863162681,10
-3.669347057002171,-2.439856284214702,24
5.064472189289943,-9.01258348758384,01
-8.708854207652196,-0.47241678173705537,02
-12.460470685618503,0.7467868990166525,07
-9.384826192515478,-12.68723177249595,10
4.224999418599025,13.90493131344155,03
10.02975987468423,-5.015969985081401,19
-7.687855252879246,-1.3635301523940224,02
6.053633680683986,-7.40368675525352,08
-8.282701024668798,10.731175667689596,05
4.548976412159816,-8.483707182957376,08
-11.484609136241064,-0.1711754285828729,07
1.120142569882289,7.034918076442037,14
3.3368592170304217,14.560842759059224,03
-8.979250440257177,-13.625654929234232,10
-12.593562612193212,-0.443388157440867,07
-7.652840623515233,-1.4972363644377846,02
-8.60372401203452,11.684855706141745,05
4.460079183918849,7.922693497584615,20
-8.935740956919775,-1.2236879997985024,02
3.7804055121964377,-9.55843424136802,01
-8.9775776955062,-0.4149198764102121,02
5.557088365895168,8.301960236476218,20
-4.5986223312789045,-9.242408507420269,11
-8.971955785410985,-13.33528494174644,10
-8.494835385935888,-0.00257035988434748,02
-7.71153069462119,-13.865171187473978,10
3.2346882728165545,14.016156441615378,03
-7.677774438517674,-1.7253106766478676,02
-9.012755880015478,-12.503150694920269,10
2.8424272445267595,-8.638770812107767,01
2.820643415791408,8.124359375880514,14
2.5805773643082537,-9.63424276645347,01
3.799338569981471,-9.43466066653892,01
4.105586281163112,12.498674637721336,03
3.7997498420304217,11.496881730006493,03
5.822381487233058,-6.368557684971537,08
-7.67539788212119,11.428096062587056,05
-6.322800645487889,-6.970377677036967,11
6.035918226582424,-7.655120127751078,08
4.124595632893459,-8.438015692784036,01
4.890622129780666,-5.2082259588973185,08
3.512075891835109,-9.475119345738138,01
2.408118477208034,8.466786629603659,14
-8.568464765208349,10.85717797939614,05
-3.894333848612889,-9.993562453343118,11
1.332536211354152,-8.058323615147318,01
4.339951982838527,-8.44825815494224,01
4.850813379628078,-9.522555106236185,01
2.401320448262111,2.919359452174459,09
3.315556516987697,11.397802597926413,03
2.3310723212784685,-9.382880919529642,01
-8.072240361827001,-13.17529844577476,10
0.3467199412411607,-7.687613242222514,01
-7.637085923808201,-0.5392678313986917,02
-9.77490378345786,6.568886525080953,21
-12.414496907847507,0.4487099415524344,07
-2.970578679698094,3.9960825509293416,18
-10.22172118152915,6.869876629756246,21
-11.208756932871925,0.3883536226017813,07
-7.532794961588963,-7.681530707432475,11
5.113973131520168,-7.325626128269877,08
-11.404645452159032,-0.64155923659965,07
-9.56252528156577,0.682731694625173,02
-6.176980027812108,-8.786449187351907,11
-9.135825643199071,-12.382221930577003,10
5.553568353993312,-8.40035604770347,08
2.6639573482102312,2.8868882722123006,09
5.505846968037502,-7.020523303105082,08
-4.8531670662337385,-8.942675345493997,11
-7.431601533549412,-0.4021402829424997,02
-8.624480733531103,10.726396805690085,05
-9.618479261057958,0.9126707977516988,02
-4.018737802165135,-2.0799388819472453,24
-7.864079007762059,-0.9348476463095804,02
-7.298911103861912,-0.9808516436354776,02
1.6628612187928118,-8.714154952122415,01
-9.59910918201743,-13.092154257847511,10
1.103615930420772,-7.554725401951518,01
-12.096397885935888,-0.4896094733016153,07
-12.892621526377782,0.691208965228353,07
-8.632371434825048,-0.69564699466392,02
10.538870325428858,-3.6123471194045207,19
-6.964378842967137,-0.8168373637931009,02
-7.489266881602391,11.057645089076315,05
-7.175856122630223,-8.269001715733255,11
4.854401102406398,-5.3885214262740275,08
5.995704641682521,-7.243834727360453,08
5.784124842030422,-6.4603245192305705,08
-7.354038247721776,-1.599749558521952,02
2.6794207004136004,-9.223713629795755,01
-7.9155097099715315,-0.5235927038924356,02
-11.877285489695652,0.9515811270935872,07
3.942711820942775,13.519166237757956,03
2.075258722645656,13.27839208309487,03
-8.517611989634618,11.937396294520653,05
-7.953973302500828,-0.967063181950297,02
-4.04783440555869,-2.061336510731425,24
0.31208914343775873,-8.590990775181497,01
-12.264972219126806,0.7291156715615134,07
-13.47930289234458,0.08136486549809976,07
0.4950939920967973,-7.768093817784037,01
-0.04682172264395587,-7.338759654118266,01
-7.7114482017928205,-12.76929735477134,10
-8.812675008433446,-12.327041380955423,10
-8.804294118540868,11.527966744349753,05
4.2701349166459,-9.59717821414634,01
-7.461343297618016,-1.6768413716094157,02
6.11253689799966,-7.413218730046,08
-7.524467954295262,-12.653347724034036,10
-0.05507225717841022,-7.763766520573344,01
-6.798734197276219,11.336371666835104,05
-9.259049901621925,-1.24728273685142,02
-7.9487834068709455,-0.3951755696074625,02
5.892158022267238,7.986942059443746,20
2.2688846496170916,-8.599068396641458,01
6.120162000996486,-7.256600611759867,08
2.8304171470230974,-8.479015105320657,01
-8.495522985118017,10.658660180018698,05
2.70639299426736,-9.94259523685142,01
4.060738792759792,-9.421086066319193,01
5.653991213185207,-6.697967761112895,08
5.115785589558498,-8.571073287083353,08
2.4238457587784685,7.533097035334859,14
-9.419435987132175,-12.333664649082865,10
-11.25933218921958,-0.6475006275908609,07
-9.887963781016454,-13.14305853183433,10
-8.57951689686118,-13.743996375157083,10
1.659439196926967,13.416685349391257,03
5.4152092841690935,8.204387909816061,20
4.192867985112087,13.754495865748678,03
3.547070255619899,-9.149516814305032,01
5.6510090735978045,-6.9912435942427775,08
-7.322846898692235,-8.00525163943931,11
-10.132281789439306,6.765761143611226,21
-8.995581159251318,-1.246537798001017,02
2.5561063197678484,7.251263863490377,14
3.08321618114175,-7.727987521244731,01
1.7115745452469744,-9.769363158299171,01
-7.093947896617039,-7.434254878117289,11
-8.81528521503745,-12.932300322605814,10
0.278466614080087,-7.826913111759867,01
3.0585813430375017,-9.777642958714212,01
-0.6904122921401107,-6.759458773686137,01
-8.25961066211997,-13.703284972264017,10
-7.901739606516942,0.04810278964177175,02
3.616091003758327,-9.157301657749857,01
-9.763654241221532,6.953200585292135,21
-7.108520993846043,-8.046318762852396,11
5.7800421622818865,-7.336488001896586,08
-4.306136617320164,-9.510663741184915,11
1.9729974177903091,-7.8301036291854045,01
5.209066381794826,-8.08684229190513,08
2.68236111674966,-9.069747679783548,01
2.273888101918117,7.525556809352193,14
-4.116109857218846,-9.73831056888267,11
1.91465293441476,13.253896958277975,03
3.8091277984208025,11.456571824000632,03
3.9864842799729265,11.831040627406392,03
1.887669315678493,7.709981686518941,14
5.303004255635158,-8.605043166233743,08
-9.77438403095542,-12.807178252293314,10
1.860858669621364,6.871268517421041,14
-9.050535688059911,-12.333914511753765,10
1.3006575015610613,-8.190988295628275,01
-7.248928556101903,11.449362999842917,05
-8.450648793833837,10.515162712977682,05
6.000349512440578,-7.512731783940043,08
1.45460175548257,13.269377953456198,03
-8.765791425364599,-13.545892470432962,10
