group.var,color.var,y,group_sum,y_scaled,color_var_sum,y_scaled_within_color,scaled_color_sum,y_scaled_all,.group
Non-Neoplastic,Healthy,19396,30345,0.6391827319162959,19494,0.9949728121473274,1.4782656834781593,0.673067651686462,1
Non-Neoplastic,Primary,5544,30345,0.18269896193771626,22655,0.24471419112778636,1.4782656834781593,0.16554141374100423,1
Non-Neoplastic,Recurrent,5405,30345,0.1781183061459878,22655,0.23857868020304568,1.4782656834781593,0.16139093457253387,1
Neoplastic,Primary,16799,33727,0.4980875856138998,22655,0.7415140145663209,1.488722136393732,0.4980875856138999,2
Neoplastic,Recurrent,16928,33727,0.5019124143861001,22655,0.7472081218274111,1.488722136393732,0.5019124143861001,2
Ambiguous,Healthy,98,732,0.13387978142076504,19494,0.005027187852672617,0.0330121801281085,0.15228281904327112,3
Ambiguous,Primary,312,732,0.4262295081967213,22655,0.013771794305892739,0.0330121801281085,0.41717312375157645,3
Ambiguous,Recurrent,322,732,0.43989071038251365,22655,0.014213197969543147,0.0330121801281085,0.4305440572051526,3
