sample,condition,raw
BRAIN_01,Healthy,1266
BRAIN_01,Healthy,1459
BRAIN_01,Healthy,6057
BRAIN_01,Healthy,12612
BRAIN_01,Healthy,1410
BRAIN_01,Healthy,14603
BRAIN_01,Healthy,1054
BRAIN_01,Healthy,8796
BRAIN_01,Healthy,6500
BRAIN_01,Healthy,1309
BRAIN_01,Healthy,3960
BRAIN_01,Healthy,1863
BRAIN_01,Healthy,9151
BRAIN_01,Healthy,14539
BRAIN_01,Healthy,4068
BRAIN_01,Healthy,16564
BRAIN_01,Healthy,9472
BRAIN_01,Healthy,12388
BRAIN_01,Healthy,13796
BRAIN_01,Healthy,14724
BRAIN_01,Healthy,10493
BRAIN_01,Healthy,1520
BRAIN_01,Healthy,2078
BRAIN_01,Healthy,8154
BRAIN_01,Healthy,6129
BRAIN_01,Healthy,20556
BRAIN_01,Healthy,6694
BRAIN_01,Healthy,22240
BRAIN_01,Healthy,14240
BRAIN_01,Healthy,14676
BRAIN_01,Healthy,6767
BRAIN_01,Healthy,4911
BRAIN_01,Healthy,2116
BRAIN_01,Healthy,12222
BRAIN_01,Healthy,931
BRAIN_01,Healthy,7562
BRAIN_01,Healthy,10778
BRAIN_01,Healthy,4327
BRAIN_01,Healthy,7538
BRAIN_01,Healthy,8847
BRAIN_01,Healthy,6740
BRAIN_01,Healthy,5777
BRAIN_01,Healthy,8573
BRAIN_01,Healthy,9814
BRAIN_01,Healthy,2990
BRAIN_01,Healthy,6888
BRAIN_01,Healthy,11610
BRAIN_01,Healthy,19943
BRAIN_01,Healthy,21072
BRAIN_01,Healthy,12146
BRAIN_01,Healthy,11424
BRAIN_01,Healthy,19725
BRAIN_01,Healthy,20316
BRAIN_01,Healthy,28259
BRAIN_01,Healthy,29248
BRAIN_01,Healthy,15415
BRAIN_01,Healthy,12258
BRAIN_01,Healthy,10070
BRAIN_01,Healthy,6253
BRAIN_01,Healthy,10333
BRAIN_01,Healthy,1626
BRAIN_01,Healthy,2002
BRAIN_01,Healthy,6785
BRAIN_01,Healthy,16316
BRAIN_01,Healthy,17810
BRAIN_01,Healthy,2941
BRAIN_01,Healthy,24001
BRAIN_01,Healthy,6277
BRAIN_01,Healthy,15223
BRAIN_01,Healthy,3918
BRAIN_01,Healthy,9826
BRAIN_01,Healthy,7083
BRAIN_01,Healthy,6158
BRAIN_01,Healthy,6717
BRAIN_01,Healthy,5531
BRAIN_01,Healthy,13590
BRAIN_01,Healthy,8168
BRAIN_01,Healthy,2456
BRAIN_01,Healthy,13759
BRAIN_01,Healthy,4414
BRAIN_01,Healthy,11785
BRAIN_01,Healthy,6795
BRAIN_01,Healthy,7505
BRAIN_01,Healthy,14574
BRAIN_01,Healthy,3019
BRAIN_01,Healthy,5311
BRAIN_01,Healthy,14075
BRAIN_01,Healthy,2377
BRAIN_01,Healthy,5224
BRAIN_01,Healthy,8867
BRAIN_01,Healthy,7245
BRAIN_01,Healthy,3511
BRAIN_01,Healthy,13724
BRAIN_01,Healthy,12912
BRAIN_01,Healthy,13085
BRAIN_01,Healthy,27041
BRAIN_01,Healthy,8514
BRAIN_01,Healthy,22382
BRAIN_01,Healthy,6794
BRAIN_01,Healthy,2478
BRAIN_01,Healthy,4501
BRAIN_01,Healthy,9826
BRAIN_01,Healthy,16023
BRAIN_01,Healthy,4015
BRAIN_01,Healthy,1887
BRAIN_01,Healthy,2422
BRAIN_01,Healthy,5185
BRAIN_01,Healthy,15590
BRAIN_01,Healthy,6255
BRAIN_01,Healthy,4996
BRAIN_01,Healthy,12706
BRAIN_01,Healthy,2439
BRAIN_01,Healthy,13642
BRAIN_01,Healthy,15127
BRAIN_01,Healthy,16328
BRAIN_01,Healthy,4647
BRAIN_01,Healthy,5713
BRAIN_01,Healthy,13412
BRAIN_01,Healthy,10444
BRAIN_01,Healthy,2883
BRAIN_01,Healthy,10236
BRAIN_01,Healthy,5509
BRAIN_01,Healthy,16618
BRAIN_01,Healthy,7219
BRAIN_01,Healthy,3053
BRAIN_01,Healthy,21706
BRAIN_01,Healthy,12179
BRAIN_01,Healthy,6613
BRAIN_01,Healthy,15915
BRAIN_01,Healthy,21004
BRAIN_01,Healthy,9791
BRAIN_01,Healthy,13776
BRAIN_01,Healthy,8539
BRAIN_01,Healthy,5516
BRAIN_01,Healthy,5359
BRAIN_01,Healthy,2831
BRAIN_01,Healthy,11589
BRAIN_01,Healthy,13704
BRAIN_01,Healthy,3885
BRAIN_01,Healthy,8883
BRAIN_01,Healthy,3225
BRAIN_01,Healthy,1387
BRAIN_01,Healthy,8077
BRAIN_01,Healthy,18252
BRAIN_01,Healthy,3419
BRAIN_01,Healthy,3981
BRAIN_01,Healthy,3976
BRAIN_01,Healthy,15420
BRAIN_01,Healthy,7337
BRAIN_01,Healthy,5880
BRAIN_01,Healthy,30967
BRAIN_01,Healthy,15394
BRAIN_01,Healthy,26042
BRAIN_01,Healthy,3358
BRAIN_01,Healthy,1231
BRAIN_01,Healthy,11567
BRAIN_01,Healthy,11673
BRAIN_01,Healthy,5704
BRAIN_01,Healthy,1340
BRAIN_01,Healthy,17000
BRAIN_01,Healthy,2032
BRAIN_01,Healthy,1988
BRAIN_01,Healthy,6265
BRAIN_01,Healthy,2380
BRAIN_01,Healthy,1302
BRAIN_01,Healthy,17424
BRAIN_01,Healthy,13534
BRAIN_01,Healthy,9208
BRAIN_01,Healthy,5356
BRAIN_01,Healthy,4095
BRAIN_01,Healthy,6442
BRAIN_01,Healthy,8640
BRAIN_01,Healthy,9041
BRAIN_01,Healthy,9488
BRAIN_01,Healthy,1817
BRAIN_01,Healthy,2986
BRAIN_01,Healthy,3523
BRAIN_01,Healthy,2332
BRAIN_01,Healthy,9735
BRAIN_01,Healthy,8052
BRAIN_01,Healthy,10969
BRAIN_01,Healthy,12226
BRAIN_01,Healthy,1929
BRAIN_01,Healthy,3765
BRAIN_01,Healthy,8256
BRAIN_01,Healthy,13975
BRAIN_01,Healthy,1959
BRAIN_01,Healthy,3239
BRAIN_01,Healthy,4112
BRAIN_01,Healthy,9550
BRAIN_01,Healthy,4615
BRAIN_01,Healthy,12384
BRAIN_01,Healthy,14766
BRAIN_01,Healthy,17775
BRAIN_01,Healthy,9223
BRAIN_01,Healthy,3297
BRAIN_01,Healthy,3476
