sample_id,condition,Level_3,n,pct
TP_05,Primary,Microglia,643,11.78951228456179
TP_05,Primary,Macrophage,174,3.1903190319031904
TP_05,Primary,Dendritic,63,1.155115511551155
TP_05,Primary,Neutrophil,8,0.14668133480014667
TP_05,Primary,NKTB,146,2.676934360102677
TP_05,Primary,Endothelial,21,0.385038503850385
TP_05,Primary,Mural,3,0.055005500550055
TP_05,Primary,Fibroblast,6,0.11001100110011
TP_05,Primary,Neoplastic,4215,77.28272827282728
TP_06,Primary,Astrocyte,29,0.699132111861138
TP_06,Primary,OPC/COP/OLG,106,2.5554484088717455
TP_06,Primary,Neural,1,0.024108003857280617
TP_06,Primary,Ependymal,2,0.048216007714561235
TP_06,Primary,Microglia,225,5.424300867888139
TP_06,Primary,Macrophage,85,2.0491803278688523
TP_06,Primary,Dendritic,16,0.3857280617164899
TP_06,Primary,Neutrophil,4,0.09643201542912247
TP_06,Primary,NKTB,18,0.43394406943105107
TP_06,Primary,Endothelial,14,0.33751205400192863
TP_06,Primary,Fibroblast,24,0.5785920925747349
TP_06,Primary,Neoplastic,3624,87.36740597878494
TP_08,Primary,Astrocyte,87,1.8665522420081528
TP_08,Primary,OPC/COP/OLG,814,17.464063505685477
TP_08,Primary,Neural,29,0.6221840806693842
TP_08,Primary,Ependymal,1,0.021454623471358077
TP_08,Primary,Microglia,426,9.139669598798541
TP_08,Primary,Macrophage,81,1.7378245011800044
TP_08,Primary,Dendritic,25,0.536365586783952
TP_08,Primary,Neutrophil,7,0.15018236429950654
TP_08,Primary,NKTB,47,1.0083673031538296
TP_08,Primary,Endothelial,32,0.6865479510834585
TP_08,Primary,Mural,3,0.06436387041407424
TP_08,Primary,Fibroblast,9,0.1930916112422227
TP_08,Primary,Neoplastic,3100,66.50933276121003
TR_01,Recurrent,Astrocyte,34,0.9181744531460978
TR_01,Recurrent,OPC/COP/OLG,24,0.6481231433972455
TR_01,Recurrent,Neural,35,0.945179584120983
TR_01,Recurrent,Microglia,213,5.752092897650553
TR_01,Recurrent,Macrophage,611,16.500135025654874
TR_01,Recurrent,Dendritic,198,5.347015933027275
TR_01,Recurrent,Neutrophil,15,0.4050769646232784
TR_01,Recurrent,NKTB,195,5.2660005401026195
TR_01,Recurrent,Endothelial,12,0.32406157169862276
TR_01,Recurrent,Mural,2,0.054010261949770454
TR_01,Recurrent,Fibroblast,55,1.4852822036186877
TR_01,Recurrent,Neoplastic,2309,62.35484742100999
TR_02,Recurrent,Astrocyte,18,0.4827031375703942
TR_02,Recurrent,OPC/COP/OLG,18,0.4827031375703942
TR_02,Recurrent,Neural,6,0.16090104585679807
TR_02,Recurrent,Microglia,28,0.7508715473317243
TR_02,Recurrent,Macrophage,332,8.90319120407616
TR_02,Recurrent,Dendritic,26,0.6972378653794583
TR_02,Recurrent,Neutrophil,17,0.45588629659426116
TR_02,Recurrent,NKTB,19,0.5095199785465273
TR_02,Recurrent,Endothelial,8,0.2145347278090641
TR_02,Recurrent,Mural,3,0.08045052292839903
TR_02,Recurrent,Fibroblast,6,0.16090104585679807
TR_02,Recurrent,Neoplastic,3248,87.10109949048001
TR_03,Recurrent,Astrocyte,21,0.5691056910569106
TR_03,Recurrent,OPC/COP/OLG,25,0.6775067750677507
TR_03,Recurrent,Neural,9,0.24390243902439024
TR_03,Recurrent,Microglia,101,2.7371273712737128
TR_03,Recurrent,Macrophage,365,9.89159891598916
TR_03,Recurrent,Dendritic,89,2.4119241192411924
TR_03,Recurrent,Neutrophil,4,0.10840108401084012
TR_03,Recurrent,NKTB,97,2.6287262872628725
TR_03,Recurrent,Endothelial,15,0.40650406504065045
TR_03,Recurrent,Mural,3,0.08130081300813008
TR_03,Recurrent,Fibroblast,10,0.27100271002710025
TR_03,Recurrent,Neoplastic,2951,79.97289972899729
TR_04,Recurrent,Astrocyte,46,1.2339055793991416
TR_04,Recurrent,OPC/COP/OLG,13,0.3487124463519313
TR_04,Recurrent,Neural,4,0.1072961373390558
TR_04,Recurrent,Microglia,73,1.9581545064377683
TR_04,Recurrent,Macrophage,551,14.780042918454935
TR_04,Recurrent,Dendritic,51,1.3680257510729614
TR_04,Recurrent,Neutrophil,9,0.24141630901287556
TR_04,Recurrent,NKTB,31,0.8315450643776824
TR_04,Recurrent,Endothelial,11,0.29506437768240346
TR_04,Recurrent,Mural,2,0.0536480686695279
TR_04,Recurrent,Fibroblast,6,0.1609442060085837
TR_04,Recurrent,Neoplastic,2931,78.62124463519314
TR_06,Recurrent,Astrocyte,199,5.37402106400216
TR_06,Recurrent,OPC/COP/OLG,243,6.56224682689711
TR_06,Recurrent,Neural,17,0.4590872265730489
TR_06,Recurrent,Ependymal,4,0.10802052389954091
TR_06,Recurrent,Microglia,494,13.340534701593304
TR_06,Recurrent,Macrophage,233,6.292195517148258
TR_06,Recurrent,Dendritic,28,0.7561436672967864
TR_06,Recurrent,Neutrophil,7,0.1890359168241966
TR_06,Recurrent,NKTB,109,2.94355927626249
TR_06,Recurrent,Choroid,3,0.08101539292465569
TR_06,Recurrent,Endothelial,38,1.0261949770456387
TR_06,Recurrent,Mural,6,0.16203078584931138
TR_06,Recurrent,Fibroblast,8,0.21604104779908181
TR_06,Recurrent,Neoplastic,2314,62.48987307588442
TR_07,Recurrent,Astrocyte,62,1.64021164021164
TR_07,Recurrent,OPC/COP/OLG,21,0.5555555555555556
TR_07,Recurrent,Neural,14,0.3703703703703704
TR_07,Recurrent,Microglia,77,2.037037037037037
TR_07,Recurrent,Macrophage,326,8.624338624338625
TR_07,Recurrent,Dendritic,38,1.0052910052910053
TR_07,Recurrent,Neutrophil,14,0.3703703703703704
TR_07,Recurrent,NKTB,27,0.7142857142857143
TR_07,Recurrent,Endothelial,17,0.4497354497354497
TR_07,Recurrent,Mural,3,0.07936507936507936
TR_07,Recurrent,Fibroblast,6,0.15873015873015872
TR_07,Recurrent,Neoplastic,3175,83.994708994709
BRAIN_01,Healthy,Neoplastic,0,0
BRAIN_04a,Healthy,Neoplastic,0,0
BRAIN_04b,Healthy,Neoplastic,0,0
BRAIN_05,Healthy,Neoplastic,0,0
BRAIN_06,Healthy,Neoplastic,0,0
TP_01b,Primary,Choroid,0,0
TP_05,Primary,Choroid,0,0
TP_06,Primary,Choroid,0,0
TP_06,Primary,Mural,0,0
TP_08,Primary,Choroid,0,0
TR_01,Recurrent,Choroid,0,0
TR_01,Recurrent,Ependymal,0,0
TR_02,Recurrent,Choroid,0,0
TR_02,Recurrent,Ependymal,0,0
TR_03,Recurrent,Choroid,0,0
TR_03,Recurrent,Ependymal,0,0
TR_04,Recurrent,Choroid,0,0
TR_04,Recurrent,Ependymal,0,0
TR_07,Recurrent,Choroid,0,0
TR_07,Recurrent,Ependymal,0,0
