panel,group.var,color.var,y,group_sum,y_scaled,color_var_sum,y_scaled_within_color,scaled_color_sum,y_scaled_all,.group
rcas_call,Non-neoplastic Clusters,rcas_neg,27195,27855,0.9763058696822833,32093,0.847381048826847,0.9270013906542478,0.9141097924662148,1
rcas_call,Non-neoplastic Clusters,rcas_low,453,27855,0.01626278944534195,6311,0.07177943273649184,0.9270013906542478,0.07743185011387332,1
rcas_call,Non-neoplastic Clusters,rcas_high,207,27855,0.007431340872374798,26400,0.007840909090909091,0.9270013906542478,0.00845835741991199,1
rcas_call,Mixed Clusters,rcas_neg,3150,6051,0.5205751115518096,32093,0.09815224503785873,0.4081926206686717,0.24045570661486435,2
rcas_call,Mixed Clusters,rcas_low,1660,6051,0.2743348206907949,6311,0.2630327998732372,0.4081926206686717,0.6443840151797842,2
rcas_call,Mixed Clusters,rcas_high,1241,6051,0.20509006775739547,26400,0.047007575757575755,0.4081926206686717,0.11516027820535153,2
rcas_call,Neoplastic Clusters,rcas_neg,1748,30898,0.056573240986471617,32093,0.0544667061352943,1.6648059886770805,0.03271654865836689,3
rcas_call,Neoplastic Clusters,rcas_low,4198,30898,0.13586639911968412,6311,0.665187767390271,1.6648059886770805,0.3995587305154128,3
rcas_call,Neoplastic Clusters,rcas_high,24952,30898,0.8075603598938442,26400,0.9451515151515152,1.6648059886770805,0.5677247208262203,3
sample_type,Non-neoplastic Clusters,Healthy,18281,27855,0.6562915096033028,19494,0.9377757258643685,1.3603755934432695,0.6893505958091681,1
sample_type,Non-neoplastic Clusters,Primary,4333,27855,0.15555555555555556,22655,0.19126020745972191,1.3603755934432695,0.14059367749727117,1
sample_type,Non-neoplastic Clusters,Recurrent,5241,27855,0.18815293484114162,22655,0.231339660119179,1.3603755934432695,0.17005572669356064,1
sample_type,Mixed Clusters,Healthy,1144,6051,0.18905965956040324,19494,0.0586847235046681,0.27528150125792344,0.21318077399499424,2
sample_type,Mixed Clusters,Primary,3110,6051,0.5139646339448025,22655,0.13727653939527698,0.27528150125792344,0.49867694984217814,2
sample_type,Mixed Clusters,Recurrent,1797,6051,0.29697570649479427,22655,0.07932023835797837,0.27528150125792344,0.28814227616282767,2
sample_type,Neoplastic Clusters,Healthy,69,30898,0.002233154249465985,19494,0.0035395506309633734,1.3643429052988072,0.0025943262630065645,3
sample_type,Neoplastic Clusters,Primary,15212,30898,0.49232960062139947,22655,0.6714632531450011,1.3643429052988072,0.4921513869696436,3
sample_type,Neoplastic Clusters,Recurrent,15617,30898,0.5054372451291346,22655,0.6893401015228426,1.3643429052988072,0.5052542867673497,3
