UMAP_1,UMAP_2,Level_3
8.413607938463237,-7.070142895351262,NKTB
9.833092076952006,6.8586681779519605,Microglia
2.289528472597147,11.44201073013702,Neural
-1.3936973975352993,14.443290561069636,Choroid
13.144721372301127,3.910766452182918,Microglia
-7.963869707410788,10.556403964389949,Astrocyte
-8.915927545850728,6.9674328263894605,Astrocyte
10.528960569078473,6.824405997623591,Microglia
12.84799705284312,-2.8384791914328047,Macrophage
-1.1900164054088345,13.951351970066218,Choroid
-9.370754854505511,6.281488269199519,Astrocyte
-8.033335344617818,-0.05468303001961214,OPC/COP/OLG
-6.653121607130026,-12.309878498683782,OPC/COP/OLG
11.78993354576304,6.710910647739558,Microglia
12.17428050773814,1.6498000320092727,Microglia
-13.362637178724263,-3.572423369060368,Endothelial
-1.2710230515651455,14.460499614109189,Choroid
-7.499848501508688,1.2217439111367752,OPC/COP/OLG
12.957441671068215,2.793300240863948,Microglia
-7.641055242841696,9.996828883518369,Astrocyte
12.922105176622416,3.5203350480691484,Microglia
-4.104146139448141,11.579596370090632,Ependymal
-7.721579210584616,9.15675052963653,Astrocyte
-6.838804380720114,-13.109303623805852,OPC/COP/OLG
12.627841336900737,4.96668991409698,Microglia
-7.483807222669577,-13.36585632003388,OPC/COP/OLG
12.57355628746226,6.8430078920022535,Microglia
10.389912946397809,1.5759764608041336,Microglia
12.985106809312846,5.395038455356746,Microglia
-7.615521089857077,0.6308041509286453,OPC/COP/OLG
10.371993405992534,6.878792613376765,Microglia
11.874736173326518,6.8809765275613355,Microglia
-7.924142496412252,0.23246747218528288,OPC/COP/OLG
-7.812943117444967,10.80186065994659,Astrocyte
-8.110521929090474,10.390580027927546,Astrocyte
-9.083835260694478,7.149013846744685,Astrocyte
-8.642286913221334,10.213474124302058,Astrocyte
10.476411206895854,6.601234763492732,Microglia
11.51508746879771,4.8183802064553785,Microglia
-8.941477434461568,9.7542770799295,Astrocyte
-8.236115114515279,0.3142210539475967,OPC/COP/OLG
10.074911458665872,-6.4788915220602465,Dendritic
-9.254041330640767,6.223289340366511,Astrocyte
11.66076217430308,6.880872577060847,Microglia
-8.600283281629537,10.184058040012507,Astrocyte
10.256820066148784,6.615909903873591,Microglia
-9.456288950269672,7.4279125627175855,Astrocyte
-8.095635073011373,9.667215197910457,Astrocyte
11.38123737114146,6.717595904697566,Microglia
2.047044022256876,11.464079707492976,Neural
-9.094373361890767,7.6451695855752515,Astrocyte
11.667949063951518,6.63021644913116,Microglia
-8.802453653638814,9.982217639316708,Astrocyte
-9.106506006544087,6.524814933170466,Astrocyte
1.690713627512003,11.412343829502252,Neural
-14.558158533399556,-1.7538460794790696,Mural
-0.45092310172841454,14.436825602878718,Choroid
-8.72443069679067,7.899703830112605,Astrocyte
1.338420016939188,11.294848292698054,Neural
-13.91427387458608,3.612689822544246,Fibroblast
-8.244133608167623,9.716662257541804,Astrocyte
-6.429425852125143,-13.302727848659368,OPC/COP/OLG
-9.543093340223288,6.3456371720925855,Astrocyte
-7.161255972211813,8.529815524448543,Astrocyte
-6.143684522932028,-13.219316631923528,OPC/COP/OLG
-7.391292707746481,-13.39512649215302,OPC/COP/OLG
11.421436650926616,-10.466815144191594,NKTB
11.30765281456187,6.126665919651179,Microglia
-6.889256136243795,-12.829923779140325,OPC/COP/OLG
-7.085129396741842,9.201704829563289,Astrocyte
-8.083015100782369,10.21748623215118,Astrocyte
-9.488859789197896,6.256295531620173,Astrocyte
-0.7431397007159939,13.440996020664365,Choroid
13.273861272508649,5.209414332737117,Microglia
-7.4613906310252895,10.030443042148738,Astrocyte
4.787302835161234,-4.300246388088079,Ambiguous
-8.136450426404927,9.185561030735164,Astrocyte
-8.899621622388814,10.065485804905084,Astrocyte
