panel,group.var,color.var,y,group_sum,y_scaled,color_var_sum,y_scaled_within_color,scaled_color_sum,y_scaled_all,.group
all,Healthy,Astrocyte,0.22221076510620746,19396,0.22221076510620746,5110,0.8434442270058709,7.5679565203959545,0.11144940179462633,1
all,Healthy,OPC/COP/OLG,0.1674056506496185,19396,0.1674056506496185,4909,0.6614381747810144,7.5679565203959545,0.08739983811989555,1
all,Healthy,Neural,0.05954836048669829,19396,0.05954836048669829,1442,0.8009708737864077,7.5679565203959545,0.10583714000308515,1
all,Healthy,Ependymal,0.010930088678077954,19396,0.010930088678077954,229,0.925764192139738,7.5679565203959545,0.12232683811604433,1
all,Healthy,Microglia,0.33831717879975254,19396,0.33831717879975254,9587,0.6844685511630333,7.5679565203959545,0.09044298144662465,1
all,Healthy,Macrophage,0.019282326252835637,19396,0.019282326252835637,3457,0.10818628868961527,7.5679565203959545,0.01429531055021904,1
all,Healthy,Dendritic,0.0011342544854609198,19396,0.0011342544854609198,617,0.03565640194489465,7.5679565203959545,0.004711496670045498,1
all,Healthy,Neutrophil,9.28026397195298e-4,19396,9.28026397195298e-4,122,0.14754098360655737,7.5679565203959545,0.019495485103399886,1
all,Healthy,NKTB,0.006032171581769437,19396,0.006032171581769437,930,0.12580645161290321,7.5679565203959545,0.016623569555909795,1
all,Healthy,Choroid,0.04944318416168282,19396,0.04944318416168282,977,0.9815762538382804,7.5679565203959545,0.12970162436754124,1
all,Healthy,Endothelial,0.08506908640956898,19396,0.08506908640956898,1947,0.847457627118644,7.5679565203959545,0.1119797166956114,1
all,Healthy,Mural,0.030057743864714374,19396,0.030057743864714374,640,0.9109375,7.5679565203959545,0.12036769734934204,1
all,Healthy,Fibroblast,0.009641163126417818,19396,0.009641163126417818,378,0.4947089947089947,7.5679565203959545,0.06536890022765506,1
all,Primary,Astrocyte,0.018797833773441346,22343,0.018797833773441346,5110,0.0821917808219178,2.829724318521733,0.029045861564654236,2
all,Primary,OPC/COP/OLG,0.05898939265094213,22343,0.05898939265094213,4909,0.2684864534528417,2.829724318521733,0.09488078103421073,2
all,Primary,Neural,0.009040862910083694,22343,0.009040862910083694,1442,0.14008321775312066,2.829724318521733,0.04950419262972623,2
all,Primary,Ependymal,5.818377120350893e-4,22343,5.818377120350893e-4,229,0.056768558951965066,2.829724318521733,0.020061515738614897,2
all,Primary,Microglia,0.09125900729534978,22343,0.09125900729534978,9587,0.2126838427036612,2.829724318521733,0.07516062300187909,2
all,Primary,Macrophage,0.029763236807948797,22343,0.029763236807948797,3457,0.1923633207983801,2.829724318521733,0.0679795270299942,2
all,Primary,Dendritic,0.007384863268137672,22343,0.007384863268137672,617,0.26742301458670986,2.829724318521733,0.09450497097413837,2
all,Primary,Neutrophil,0.0017007563890256456,22343,0.0017007563890256456,122,0.3114754098360656,2.829724318521733,0.11007270489118968,2
all,Primary,NKTB,0.014993510271673454,22343,0.014993510271673454,930,0.3602150537634409,2.829724318521733,0.12729687178559487,2
all,Primary,Choroid,6.713512061943338e-4,22343,6.713512061943338e-4,977,0.015353121801432957,2.829724318521733,0.0054256599135613075,2
all,Primary,Endothelial,0.008772322427605962,22343,0.008772322427605962,1947,0.10066769388803287,2.829724318521733,0.03557508879190831,2
all,Primary,Mural,0.0017007563890256456,22343,0.0017007563890256456,640,0.059375,2.829724318521733,0.020982609369883033,2
all,Primary,Fibroblast,0.004475674707962225,22343,0.004475674707962225,378,0.26455026455026454,2.829724318521733,0.09348976605907228,2
all,Primary,Neoplastic,0.7518685941905743,22343,0.7518685941905743,33727,0.4980875856138998,2.829724318521733,0.17601982721557274,2
all,Recurrent,Astrocyte,0.01701517933103479,22333,0.01701517933103479,5110,0.07436399217221135,3.6023191610823133,0.020643365800455272,3
all,Recurrent,OPC/COP/OLG,0.015403214973357811,22333,0.015403214973357811,4909,0.07007537176614381,3.6023191610823133,0.019452849298641748,3
all,Recurrent,Neural,0.0038060269556262033,22333,0.0038060269556262033,1442,0.05894590846047157,3.6023191610823133,0.016363322022461033,3
all,Recurrent,Ependymal,1.791071508529978e-4,22333,1.791071508529978e-4,229,0.017467248908296942,3.6023191610823133,0.00484888987544594,3
all,Recurrent,Microglia,0.044149912685263956,22333,0.044149912685263956,9587,0.10284760613330551,3.6023191610823133,0.028550386996360713,3
all,Recurrent,Macrophage,0.10827027269063717,22333,0.10827027269063717,3457,0.6994503905120046,3.6023191610823133,0.1941666907442636,3
all,Recurrent,Dendritic,0.019254018716697265,22333,0.019254018716697265,617,0.6969205834683955,3.6023191610823133,0.19346441897696992,3
all,Recurrent,Neutrophil,0.002955267989074464,22333,0.002955267989074464,122,0.5409836065573771,3.6023191610823133,0.15017647864239744,3
