group.var,color.var,y,group_sum,y_scaled,color_var_sum,y_scaled_within_color,scaled_color_sum,y_scaled_all,.group
02,rcas_neg,0.9995321272613849,6412,0.9995321272613849,32093,0.19970086934845604,0.2000556551241339,0.9982265646254403,1
02,rcas_low,3.1191515907673113e-4,6412,3.1191515907673113e-4,6311,3.1690698779908097e-4,0.2000556551241339,0.0015840941242197886,1
02,rcas_high,1.5595757953836556e-4,6412,1.5595757953836556e-4,26400,3.787878787878788e-5,0.2000556551241339,1.893412503399827e-4,1
04,rcas_neg,0.9146730462519936,3762,0.9146730462519936,32093,0.10721964291278471,0.14506114620429592,0.7391341218397836,2
04,rcas_low,0.05661881977671451,3762,0.05661881977671451,6311,0.03375059420060212,0.14506114620429592,0.23266460443563358,2
04,rcas_high,0.028708133971291867,3762,0.028708133971291867,26400,0.004090909090909091,0.14506114620429592,0.028201273724582917,2
07,rcas_neg,0.9920398009950249,3015,0.9920398009950249,32093,0.09319789362166205,0.09663905335718875,0.9643916241314182,3
07,rcas_low,0.006965174129353234,3015,0.006965174129353234,6311,0.0033275233718903503,0.09663905335718875,0.0344324913820446,3
07,rcas_high,9.950248756218905e-4,3015,9.950248756218905e-4,26400,1.1363636363636364e-4,0.09663905335718875,0.0011758844865372483,3
08,rcas_neg,0.9758454106280193,2898,0.9758454106280193,32093,0.08811890443398872,0.09523168370827172,0.9253107894629695,4
08,rcas_low,0.012767425810904072,2898,0.012767425810904072,6311,0.005862779274282998,0.09523168370827172,0.06156332688858848,4
08,rcas_high,0.011387163561076604,2898,0.011387163561076604,26400,0.00125,0.09523168370827172,0.013125883648441956,4
09,rcas_neg,0.969802152030545,2881,0.969802152030545,32093,0.08705948337643724,0.09722769616507468,0.8954185567518365,5
09,rcas_low,0.019784796945505032,2881,0.019784796945505032,6311,0.009031849152273808,0.09722769616507468,0.09289378961463199,5
09,rcas_high,0.010413051023950017,2881,0.010413051023950017,26400,0.0011363636363636363,0.09722769616507468,0.011687653633531548,5
13,rcas_neg,0.9894551845342706,2276,0.9894551845342706,32093,0.0701710653413517,0.07264762742871239,0.9659099384932992,6
13,rcas_low,0.0057117750439367315,2276,0.0057117750439367315,6311,0.0020598954206940264,0.07264762742871239,0.028354613820187852,6
13,rcas_high,0.0048330404217926184,2276,0.0048330404217926184,26400,4.166666666666667e-4,0.07264762742871239,0.005735447686512998,6
14,rcas_neg,0.9865900383141762,1566,0.9865900383141762,32093,0.04814133923285452,0.05146886260474487,0.9353488069584116,7
14,rcas_low,0.013409961685823755,1566,0.013409961685823755,6311,0.0033275233718903503,0.05146886260474487,0.0646511930415884,7
17,rcas_neg,0.9959390862944163,985,0.9959390862944163,32093,0.030567413454647432,0.031080652724224844,0.9834868567873614,8
17,rcas_low,0.003045685279187817,985,0.003045685279187817,6311,4.7536048169862145e-4,0.031080652724224844,0.0152944175888596,8
17,rcas_high,0.0010152284263959391,985,0.0010152284263959391,26400,3.787878787878788e-5,0.031080652724224844,0.0012187256237789512,8
18,rcas_neg,0.9979423868312757,972,0.9979423868312757,32093,0.030224659583086653,0.030541566570885734,0.9896237481118215,9
18,rcas_low,0.00205761316872428,972,0.00205761316872428,6311,3.1690698779908097e-4,0.030541566570885734,0.010376251888178452,9
19,rcas_neg,0.967670011148272,897,0.967670011148272,32093,0.02704639641043218,0.031038674203415093,0.8713773092620157,10
19,rcas_low,0.026755852842809364,897,0.026755852842809364,6311,0.0038028838535889716,0.031038674203415093,0.12252082123954094,10
19,rcas_high,0.005574136008918618,897,0.005574136008918618,26400,1.893939393939394e-4,0.031038674203415093,0.006101869498443363,10
20,rcas_neg,0.9782293178519593,689,0.9782293178519593,32093,0.02100146449381485,0.0230165427842457,0.9124508702579727,11
20,rcas_low,0.01741654571843251,689,0.01741654571843251,6311,0.0019014419267944858,0.0230165427842457,0.08261196933954736,11
20,rcas_high,0.0043541364296081275,689,0.0043541364296081275,26400,1.1363636363636364e-4,0.0230165427842457,0.004937160402479956,11
22,rcas_neg,0.91725768321513,423,0.91725768321513,32093,0.012089863833234661,0.016671138471552556,0.7251972535567783,12
22,rcas_low,0.06382978723404255,423,0.06382978723404255,6311,0.004278244335287593,0.016671138471552556,0.25662580528546036,12
22,rcas_high,0.018912529550827423,423,0.018912529550827423,26400,3.0303030303030303e-4,0.016671138471552556,0.018176941157761393,12
23,rcas_neg,0.9921259842519685,381,0.9921259842519685,32093,0.011778269404543048,0.012012480474200164,0.9805026888359866,13
23,rcas_low,0.0026246719160104987,381,0.0026246719160104987,6311,1.5845349389954048e-4,0.012012480474200164,0.01319073893521487,13
23,rcas_high,0.005249343832020997,381,0.005249343832020997,26400,7.575757575757576e-5,0.012012480474200164,0.006306572228798563,13
24,rcas_neg,0.9969512195121951,328,0.9969512195121951,32093,0.01018913781821581,0.01034759131211535,0.9846869199681266,14
24,rcas_low,0.003048780487804878,328,0.003048780487804878,6311,1.5845349389954048e-4,0.01034759131211535,0.015313080031873422,14
25,rcas_neg,0.9956331877729258,229,0.9956331877729258,32093,0.0071043529741688215,0.007262806468068362,0.9781828836282233,15
25,rcas_low,0.004366812227074236,229,0.004366812227074236,6311,1.5845349389954048e-4,0.007262806468068362,0.02181711637177677,15
26,rcas_neg,0.8581560283687943,141,0.8581560283687943,32093,0.0037702925871685414,0.006698213053117846,0.5628803618621189,16
26,rcas_low,0.1276595744680851,141,0.1276595744680851,6311,0.0028521628901917286,0.006698213053117846,0.4258095207742191,16
26,rcas_high,0.014184397163120567,141,0.014184397163120567,26400,7.575757575757576e-5,0.006698213053117846,0.011310117363662022,16
06,rcas_neg,0.5211014666267585,3341,0.5211014666267585,32093,0.05424859003521017,0.23325901195364981,0.2325680349104357,17
06,rcas_low,0.293923974857827,3341,0.293923974857827,6311,0.15560133100934875,0.23325901195364981,0.667075324147681,17
06,rcas_high,0.18497455851541456,3341,0.18497455851541456,26400,0.02340909090909091,0.23325901195364981,0.10035664094188335,17
15,rcas_neg,0.3257042253521127,1136,0.3257042253521127,32093,0.011528993861589754,0.09516448720414221,0.12114806899403892,18
15,rcas_low,0.3987676056338028,1136,0.3987676056338028,6311,0.07177943273649184,0.09516448720414221,0.7542670049018823,18
15,rcas_high,0.2755281690140845,1136,0.2755281690140845,26400,0.011856060606060606,0.09516448720414221,0.12458492610407876,18
16,rcas_neg,0.5776930409914204,1049,0.5776930409914204,32093,0.01888262237871187,0.05640177484458435,0.3347877337325487,19
16,rcas_low,0.16396568160152525,1049,0.16396568160152525,6311,0.027254000950720964,0.05640177484458435,0.48321176108056235,19
