avg.exp,pct.exp,features.plot,id,avg.exp.scaled
0.1457990979189058,6.122874726191718,Tg-hPDGFB-nHA,Microglia,-0.32874029073313293
0.07356342429355124,3.181391467612392,Lhfpl3,Microglia,-0.47650631268848953
0.11587166261136399,4.871179722540941,Cdkn2a,Microglia,-0.31455283951464924
0.06920898344285871,2.962344841973506,Vxn,Microglia,-0.459796676005486
0.0662475638797869,3.170960675915302,Pdgfra,Microglia,-0.5616202749159185
0.12206844730365661,4.579117555022426,Gap43,Microglia,-0.4879975564333905
0.0684781261196905,2.962344841973506,Cacng4,Microglia,-0.5801479516439282
0.022633705412740922,1.4916032126838428,Moxd1,Microglia,-0.37270685702863776
0.020679769737246046,1.3455721289245854,Col11a1,Microglia,-0.5211241780235979
0.05598873658809191,2.0965891311150515,Sox11,Microglia,-0.5003035296977957
0.0638803569842499,3.0249295921560444,Tub,Microglia,-0.6192401861340144
0.04602975136413637,2.2634817982684887,Igfbp3,Microglia,-0.6520795103747226
0.03330784625897738,1.6376342964430999,Pcdh15,Microglia,-0.4614746878701247
0.03494896066067893,1.585480337957651,Matn4,Microglia,-0.4855888202931151
0.08085264654029212,3.2544070094920206,Sox10,Microglia,-0.43090453506859155
0.13580591938937486,4.34964013768645,Olig1,Microglia,-0.4279292089757483
0.027298960244258538,1.2829873787420465,Plppr5,Microglia,-0.537062703044361
0.03285137687551477,1.804526963596537,Pnlip,Microglia,-0.37021315133505295
0.07744398819797932,2.993637217064775,Ncald,Microglia,-0.7150959512467199
0.05565316106400331,2.472097632210285,Nsg1,Microglia,-0.7244354927428258
0.10328211202948448,4.683425471993324,Cntn1,Microglia,-0.7367147190539134
0.11277188949773004,4.829456555752581,Mmp15,Microglia,-0.8259753802521805
0.2713476165160293,7.812662981120266,Fabp7,Microglia,-0.6437127248791209
0.08474574763802678,4.34964013768645,Zdhhc2,Microglia,-0.6688286995252861
0.06147359537281018,2.785021383122979,Uchl1,Microglia,-0.747929201416633
0.3391492600294544,18.65779577668499,Tg-hPDGFB-nHA,Macrophage,-0.15901505356034928
0.15197288329475356,8.764824992768295,Lhfpl3,Macrophage,-0.3834094341267707
0.22756910015873252,11.773213769164014,Cdkn2a,Macrophage,-0.14476954108228285
0.12744193761078243,7.694532831935204,Vxn,Macrophage,-0.37185598888387367
0.13018471860945338,8.417703210876484,Pdgfra,Macrophage,-0.4971423284598295
0.1796223413069202,9.198727220133062,Gap43,Macrophage,-0.40595190358976546
0.14854258485426466,9.025166329187156,Cacng4,Macrophage,-0.46501843761323
0.085913075511114,5.987850737633787,Moxd1,Macrophage,-0.23482448013208296
0.08929831006100987,6.161411628579693,Col11a1,Macrophage,-0.3874923569649695
0.10664284614908902,5.7853630315302285,Sox11,Macrophage,-0.4454975511369767
0.16515668429415212,10.066531674862597,Tub,Macrophage,-0.39700660005099137
0.13266733736369543,9.054093144344808,Igfbp3,Macrophage,-0.5234540020272833
0.055573002863840336,3.991900491755858,Pcdh15,Macrophage,-0.42714550987887706
0.06727133382882787,3.9629736765982067,Matn4,Macrophage,-0.43257091367894157
0.1764095724350593,10.355799826439108,Sox10,Macrophage,-0.3213564134338969
0.2660987625286357,13.074920451258318,Olig1,Macrophage,-0.29467677489491967
0.06281542660029009,3.876193231125253,Plppr5,Macrophage,-0.47242675166489345
0.10263196883179042,6.4796065953138555,Pnlip,Macrophage,-0.23495576038243365
0.15966156416566168,8.8805322533989,Ncald,Macrophage,-0.6042615448493875
0.10317303610521086,6.7978015620480186,Nsg1,Macrophage,-0.6535984027525344
0.2658290442745081,14.752675730402082,Cntn1,Macrophage,-0.5522350355361305
0.17614564876769204,10.702921608330923,Mmp15,Macrophage,-0.7496235413691819
0.5926886542942681,26.381255423777844,Fabp7,Macrophage,-0.39484034080760405
0.16892423537009388,9.950824414231993,Zdhhc2,Macrophage,-0.5320340963019419
0.0939056505106523,5.351460804165462,Uchl1,Macrophage,-0.6952780748994427
0.48165188392548225,16.021505376344088,Tg-hPDGFB-nHA,NKTB,-0.04894713106849452
0.26287316519945264,7.849462365591398,Lhfpl3,NKTB,-0.26202294418907246
0.1726444474182405,6.236559139784946,Cdkn2a,NKTB,-0.22623430220390545
0.1598295695386929,4.516129032258064,Vxn,NKTB,-0.3248913686776999
0.21257592720739338,6.881720430107527,Pdgfra,NKTB,-0.41923378354387003
0.19041897950531214,5.591397849462366,Gap43,NKTB,-0.39100769442247174
0.17966007900992667,5.483870967741936,Cacng4,NKTB,-0.4224255151777537
0.07046425905296545,3.225806451612903,Moxd1,NKTB,-0.26773064782305495
0.08952517406458899,3.655913978494624,Col11a1,NKTB,-0.38706465945146
0.08624195382163234,3.010752688172043,Sox11,NKTB,-0.4672627294791886
0.19821273708219966,6.666666666666667,Tub,NKTB,-0.32863627749066326
0.2156160698225444,7.849462365591398,Igfbp3,NKTB,-0.409211289306631
0.09472163279350594,3.4408602150537635,Pcdh15,NKTB,-0.36850449763262144
0.13173358502833918,4.086021505376344,Matn4,NKTB,-0.33146721394796835
0.1966360749717614,6.021505376344086,Sox10,NKTB,-0.2993124154400683
0.31606929962001745,8.709677419354838,Olig1,NKTB,-0.24717962312659303
0.05819570873564051,2.5806451612903225,Plppr5,NKTB,-0.48071086126010765
0.11310215044697576,4.623655913978494,Pnlip,NKTB,-0.2154030169883684
0.3540222424716634,10.86021505376344,Ncald,NKTB,-0.37071886893734357
0.15367306278898896,5.053763440860215,Nsg1,NKTB,-0.5815880218907221
0.3224190602191496,10.53763440860215,Cntn1,NKTB,-0.4935299849782765
0.2530354639629358,8.494623655913978,Mmp15,NKTB,-0.6623297835765292
0.47731328702163733,13.548387096774196,Fabp7,NKTB,-0.4778895816570911
0.7492466129656111,24.408602150537632,Zdhhc2,NKTB,0.20576870167546654
0.08445419131072854,2.903225806451613,Uchl1,NKTB,-0.7104589246479038
0.11143229503158399,3.189823874755381,Tg-hPDGFB-nHA,Astrocyte,-0.3618867485351368
0.24032706137387727,4.951076320939335,Lhfpl3,Astrocyte,-0.2858137534028835
0.038784684463378856,1.604696673189824,Cdkn2a,Astrocyte,-0.4419515222736475
0.11392611919719547,3.1702544031311155,Vxn,Astrocyte,-0.39185528659330415
0.12426303346950611,3.131115459882583,Pdgfra,Astrocyte,-0.502958793629477
0.5115172130048461,8.806262230919765,Gap43,Astrocyte,6.956321192717656e-4
0.38754487534472587,11.389432485322896,Cacng4,Astrocyte,-0.16381754726775397
0.028411502794284043,1.2328767123287672,Moxd1,Astrocyte,-0.35976824637030386
0.09335125617861843,4.090019569471624,Col11a1,Astrocyte,-0.37986488719399797
