x,y,score
Microglia,Endothelial,0.01
Microglia,Mural,-0.02
Microglia,Fibroblast,-0.02
Microglia,Neopl-Bulk,-0.69
Microglia,Neopl-CC-I,-0.63
Microglia,Neopl-CC-II,-0.48
Microglia,Neopl-CC-III,-0.52
Microglia,Neopl-OPC,-0.57
Microglia,Neopl-COP,-0.33
Microglia,Neopl-NC,-0.25
Microglia,Neopl-ACR,-0.38
Microglia,Neopl-ECM,-0.58
Microglia,Neopl-RNA-low,-0.58
Macrophage,Astrocyte TE,-0.19
Macrophage,Astrocyte NT,-0.18
Macrophage,Astrocyte R,-0.14
Macrophage,OPC/COP/OLG,-0.31
Macrophage,Neural,-0.23
Macrophage,Ependymal,-0.07
Macrophage,Microglia,0.65
Macrophage,Macrophage,NA
Macrophage,Dendritic,0.64
Macrophage,Neutrophil,0.52
Macrophage,NKTB,0.32
Macrophage,Choroid,-0.01
Macrophage,Endothelial,0.01
Macrophage,Mural,-0.02
Macrophage,Fibroblast,0.02
Macrophage,Neopl-Bulk,-0.61
Macrophage,Neopl-CC-I,-0.51
Macrophage,Neopl-CC-II,-0.36
Macrophage,Neopl-CC-III,-0.39
Macrophage,Neopl-OPC,-0.56
Macrophage,Neopl-COP,-0.32
Macrophage,Neopl-NC,-0.23
Macrophage,Neopl-ACR,-0.31
Macrophage,Neopl-ECM,-0.49
Macrophage,Neopl-RNA-low,-0.46
Dendritic,Astrocyte TE,-0.15
Dendritic,Astrocyte NT,-0.15
Dendritic,Astrocyte R,-0.11
Dendritic,OPC/COP/OLG,-0.22
Dendritic,Neural,-0.14
Dendritic,Ependymal,-0.05
Dendritic,Microglia,0.39
Dendritic,Macrophage,0.64
Dendritic,Dendritic,NA
Dendritic,Neutrophil,0.44
Dendritic,NKTB,0.47
Dendritic,Choroid,0.01
Dendritic,Endothelial,0.05
Dendritic,Mural,0.03
Dendritic,Fibroblast,0.03
Dendritic,Neopl-Bulk,-0.43
Dendritic,Neopl-CC-I,-0.38
Dendritic,Neopl-CC-II,-0.28
