group.var,color.var,y,group_sum,y_scaled,color_var_sum,y_scaled_within_color,scaled_color_sum,y_scaled_all,.group
Primary,Neopl-Bulk,0.50776831954283,16799,0.50776831954283,13798,0.6182055370343528,4.555501113814057,0.13570527623398276,1
Primary,Neopl-CC-I,0.0788737424846717,16799,0.0788737424846717,2692,0.4921991084695394,4.555501113814057,0.10804499794259727,1
Primary,Neopl-CC-II,0.09827965950354188,16799,0.09827965950354188,3652,0.45208105147864186,4.555501113814057,0.09923848994521275,1
Primary,Neopl-CC-III,0.1402464432406691,16799,0.1402464432406691,5647,0.4172126792987427,4.555501113814057,0.09158436555609459,1
Primary,Neopl-OPC,0.07065896779570212,16799,0.07065896779570212,1599,0.742338961851157,4.555501113814057,0.16295440244764633,1
Primary,Neopl-COP,0.01547711173284124,16799,0.01547711173284124,766,0.3394255874673629,4.555501113814057,0.07450894621408215,1
Primary,Neopl-NC,0.00404785999166617,16799,0.00404785999166617,90,0.7555555555555555,4.555501113814057,0.16585564061534663,1
Primary,Neopl-ACR,0.004285969402940651,16799,0.004285969402940651,443,0.16252821670428894,4.555501113814057,0.0356773519847114,1
Primary,Neopl-ECM,0.0010119649979165425,16799,0.0010119649979165425,2700,0.006296296296296296,4.555501113814057,0.0013821303384612218,1
Primary,Neopl-RNA-low,0.07934996130722066,16799,0.07934996130722066,2340,0.5696581196581196,4.555501113814057,0.12504839872186485,1
Recurrent,Neopl-Bulk,0.31120037807183365,16928,0.31120037807183365,13798,0.3817944629656472,5.444498886185943,0.0701248123926254,2
Recurrent,Neopl-CC-I,0.08075378071833648,16928,0.08075378071833648,2692,0.5078008915304606,5.444498886185943,0.09326861886571024,2
Recurrent,Neopl-CC-II,0.11820652173913043,16928,0.11820652173913043,3652,0.5479189485213581,5.444498886185943,0.10063716789649195,2
Recurrent,Neopl-CC-III,0.19441162570888468,16928,0.19441162570888468,5647,0.5827873207012573,5.444498886185943,0.1070414987465485,2
Recurrent,Neopl-OPC,0.024338374291115312,16928,0.024338374291115312,1599,0.257661038148843,5.444498886185943,0.04732502357610791,2
Recurrent,Neopl-COP,0.029891304347826088,16928,0.029891304347826088,766,0.660574412532637,5.444498886185943,0.12132878091107334,2
Recurrent,Neopl-NC,0.0012996219281663517,16928,0.0012996219281663517,90,0.24444444444444444,5.444498886185943,0.04489751023086096,2
Recurrent,Neopl-ACR,0.021916351606805294,16928,0.021916351606805294,443,0.837471783295711,5.444498886185943,0.15381980983054044,2
Recurrent,Neopl-ECM,0.15849480151228734,16928,0.15849480151228734,2700,0.9937037037037038,5.444498886185943,0.18251518174151507,2
Recurrent,Neopl-RNA-low,0.059487240075614366,16928,0.059487240075614366,2340,0.43034188034188037,5.444498886185943,0.0790415958085262,2
