UMAP_1,UMAP_2,Level_4,Hypoxia_score
0.8261163665600071,-1.901180535922856,Neopl-CC-I,-0.03905046099637671
-3.5023988650493374,-2.1442948881491133,Neopl-Bulk,0.1716918891031316
-3.466108219449972,1.9856191571847488,Neopl-Bulk,0.11541197824437499
0.5109571351356754,1.117572635044246,Neopl-RNA-low,0.0030146149473084527
-1.181994097059225,1.4864467080728103,Neopl-Bulk,0.005102592962564101
-5.815988676374411,1.433889716495662,Neopl-OPC,0.0062179546501106575
4.13692913788035,-5.044364601741643,Neopl-CC-II,-0.037714795314841565
-1.4796370433025112,2.0852087434426836,Neopl-Bulk,0.020657527878399584
0.9394118024654636,-4.4472047392233325,Neopl-CC-III,-0.03840590882956968
-2.945576088254904,0.7900365289346267,Neopl-Bulk,-0.05668458297446716
3.8108433319874058,-4.470333248744817,Neopl-CC-II,-0.032030196178103876
-3.2662607596568813,-2.2630504671438643,Neopl-Bulk,0.275920645026336
-4.302993433301901,-0.3676472160919617,Neopl-Bulk,0.0022776332268421573
0.9669394327945956,-1.4891850057943772,Neopl-CC-I,-0.017531973774710996
0.8926685287304172,-2.485034853587956,Neopl-CC-I,-0.03709564967043438
1.2052751018352756,-2.293862730632634,Neopl-CC-I,-0.033870494651837
0.25044633472933864,-3.668971211086125,Neopl-CC-III,0.024169353128860982
-1.5378270314388027,1.0261379178659011,Neopl-Bulk,-0.006710097814899285
3.497264249498392,-3.0468100611074873,Neopl-CC-II,-0.11757511680101096
-0.10778422815129662,-1.0994649235113572,Neopl-CC-I,-0.006073875354415004
1.3302953078098545,-1.985296041141362,Neopl-CC-III,-0.08633297964054498
0.18917431520893668,-3.6682044569357344,Neopl-CC-III,0.10368803000276355
-3.249118940656637,1.5835551913873245,Neopl-Bulk,0.011681461395091464
-0.0089191810540905,0.5745165046350051,Neopl-RNA-low,0.05498036218685487
0.23406254711225127,-3.741706520686955,Neopl-CC-III,0.015833250234563445
-1.8112276957683315,1.574068039287715,Neopl-Bulk,0.04572876953503158
1.8396135403461704,-6.4914504591330005,Neopl-CC-III,-0.10937213813783725
-2.2124897406749477,1.1052490171090652,Neopl-Bulk,-0.016375283751445036
0.6222950054950962,-0.6426692012651871,Neopl-CC-I,-0.05412381206426187
-2.2956239150218716,-1.8287660185202073,Neopl-Bulk,0.13245387940624148
-3.740417139356589,2.14349564873138,Neopl-Bulk,0.08223413767127774
-2.629123585050558,2.139818280567318,Neopl-Bulk,0.09233891611995404
-2.7046934531383267,-0.18966348878583417,Neopl-Bulk,0.02312078941480611
-3.438784973447775,-2.242018133769841,Neopl-Bulk,0.33552577779188847
1.3127916886158235,-5.618484646449895,Neopl-CC-III,-0.046758137044920156
0.7071637644119511,-2.704942375789494,Neopl-CC-III,-0.02470407105131822
3.961841447526957,-4.3131810728414965,Neopl-CC-II,-0.03795578037097824
-2.624451772993063,1.6304472383157302,Neopl-Bulk,-0.02546068559943193
1.6545665098972568,-2.4385718408926436,Neopl-CC-I,-0.02255541283746304
3.7932499481983433,-4.046593338619084,Neopl-CC-II,1.8429587912960343e-4
1.9130204750843296,-1.5890081230505415,Neopl-CC-I,-0.059204102737938025
-5.823342459028219,1.3695057328836011,Neopl-OPC,0.020124892867742605
3.896823270494486,-4.223915249477239,Neopl-CC-II,-0.008767916794314767
-7.214187757795309,-3.528308302532048,Neopl-COP,-0.08207959570242318
-1.3490758107356775,1.347764581073909,Neopl-Bulk,0.0433069565932494
0.5302787556000004,-6.9730626646383715,Neopl-CC-III,0.12793260468331025
3.785530669862772,-3.660130173335881,Neopl-CC-II,-0.0035703948328424384
0.9451035095997103,-2.0157778564794966,Neopl-CC-I,0.012173491579122009
-2.317731277769064,-1.9128660265310715,Neopl-Bulk,0.11671654178098023
3.353376252824808,-2.3970910612448164,Neopl-CC-II,-0.032957165867730565
0.02596953349783515,-1.508255631099553,Neopl-CC-I,0.011481201256606899
4.033977372819925,-4.988835007320256,Neopl-CC-II,0.0038533026559391947
-1.583857552831625,0.9966559108392288,Neopl-Bulk,-0.008445743990285581
-4.317845957105612,2.2940736707345537,Neopl-Bulk,0.03003524282806347
1.5024510456867466,-7.227064282070012,Neopl-CC-III,0.035366411899860395
-1.5467462704829922,-0.6258266571863602,Neopl-Bulk,0.04509373934570937
-1.3290820286922207,0.4996116455689956,Neopl-Bulk,-0.07959920858361913
1.57520936268046,-6.5638805929525805,Neopl-CC-III,-0.025864401121325542
-1.4819588826350918,-1.3540050093038989,Neopl-Bulk,0.06268091962975847
-2.4016257689647427,-2.3419174257620283,Neopl-Bulk,0.16619636030196444
-1.9049619601421108,0.3396036919251968,Neopl-Bulk,-0.02226181367298602
-0.3363086746387234,-0.4615310732229661,Neopl-Bulk,-0.06945930960215213
-2.541670696561789,1.5452458556787063,Neopl-Bulk,-0.014183305662361145
3.406361205751444,-2.458456665645451,Neopl-CC-II,-0.05831255482541531
-4.2965251372508755,0.5504070814744522,Neopl-Bulk,-0.027882502527986852
-3.6424962447337856,2.182126134266048,Neopl-Bulk,0.06220978988418335
-2.573231594388937,1.943333953251033,Neopl-Bulk,0.006060675492867429
4.253704888994242,-2.8578735891684004,Neopl-CC-II,-0.052905101050766845
-6.512675421064352,-3.0667170587881514,Neopl-COP,0.08251476926970436
-4.0113688872508755,-2.5167218748434492,Neopl-Bulk,0.10555455249310425
-1.7909635470561731,0.0254628207580139,Neopl-Bulk,0.006103402485110432
0.2741310990102539,-0.3167031858070801,Neopl-CC-I,-0.10373629678946017
-1.229218261068319,1.7353266175881912,Neopl-Bulk,0.07090504925267416
-1.8111428187541712,0.8919633325234939,Neopl-Bulk,0.0558457548354524
0.9307982160396824,-4.402449280391545,Neopl-CC-III,-0.009824492031653587
3.7353986336536655,-4.955867916713567,Neopl-CC-II,-0.042712289063074727
-3.722258226697897,1.576321333278804,Neopl-Bulk,0.08442848516340862
-2.022724525754904,2.0074540074960283,Neopl-Bulk,-0.03411165496316737
1.23544786709025,-5.453900963435979,Neopl-CC-III,-0.056127488533390446
-2.2367557452373257,-2.061449557910771,Neopl-Bulk,0.14163653265487086
-1.8117300437144983,-2.028810292850346,Neopl-Bulk,0.12077825051157404
-0.02566798192784691,-0.8743865791662644,Neopl-CC-I,-0.07369883706406327
-1.8154782221965544,-2.1862474981649824,Neopl-Bulk,0.06470286677744094
-3.4098953173808804,2.184969514240413,Neopl-Bulk,-0.09063689668996366
-1.410738246267294,1.533420532573848,Neopl-Bulk,0.0036738827109261685
-2.2817787097148647,0.24109554253974455,Neopl-Bulk,0.07685626396926443
-0.4356140659503689,-0.42159351743301854,Neopl-Bulk,0.07820333752216779
-0.6700228617839565,1.414991110195308,Neopl-Bulk,-0.01351980867266045
1.9794946743793735,-6.420866638789983,Neopl-CC-III,-0.06227092707650084
-3.3028940127544155,2.1047280725137285,Neopl-Bulk,-0.036005551618658926
-6.889566557233786,1.341317385067134,Neopl-OPC,-0.026988782822888857
-1.149683253591513,-1.136884838710637,Neopl-Bulk,0.07278183722094145
-0.7457611129932156,0.2292974587575485,Neopl-Bulk,0.012564567146880146
-0.20453168613240624,-0.9577473107679796,Neopl-CC-III,-0.03910727640347672
-1.7715153859309902,-1.1628212038382004,Neopl-Bulk,0.0068594454706203956
1.625273568803812,-5.898780972133489,Neopl-CC-III,-0.013425571388940016
-0.2049238250903835,-0.30559976435741887,Neopl-CC-I,0.029208049509200362
-3.4384266303233852,2.2293690141336016,Neopl-Bulk,0.048713539681400464
-2.984677450483298,0.640517562259822,Neopl-Bulk,0.18899500539851766
-2.3332733081035366,-1.6391942802771042,Neopl-Bulk,0.10120645509306808
3.3363388611622105,-5.325784355769963,Neopl-CC-II,0.0966950480805141
1.168378276998545,-5.033721119533391,Neopl-CC-III,-0.0942444395746184
3.848409040147806,-3.372689634929509,Neopl-CC-II,-0.07311860397301212
-0.305242674177145,1.5161236222878982,Neopl-Bulk,-0.06252933328353907
-2.0443707869701138,-2.630082279811711,Neopl-Bulk,0.16714960041177562
4.005036218339945,-3.696897894512028,Neopl-CC-II,-0.06663224454004552
-6.3119460509471645,0.3652309473649551,Neopl-OPC,0.014689168239002903
-1.4272139237575283,2.5540007051126055,Neopl-RNA-low,-0.03510664141229902
-2.693583624189352,-1.7143087688787888,Neopl-Bulk,0.230606570383585
-3.8710819647960415,1.543909519542842,Neopl-Bulk,-0.07347605297019566
-0.6687084005527248,0.5996443923608352,Neopl-Bulk,-0.027352437786945294
2.8270941807575474,-2.7143608633383223,Neopl-CC-II,-0.024955627291901428
-0.5687149332217922,-0.8002262417181443,Neopl-Bulk,-0.0013986886738064919
1.4175739123173008,-6.384926945339055,Neopl-CC-III,-0.03659684388026785
-2.9123047755412808,0.26912727915206447,Neopl-Bulk,0.0333355019436144
-1.481947438543295,1.4800944026605178,Neopl-Bulk,0.021097658443784917
0.05249902444555854,0.4214927848474075,Neopl-Bulk,-0.031321801166173224
0.3429158388324032,-3.4842757288320967,Neopl-CC-III,-0.04521421912165258
2.875062568361307,-5.864434391628118,Neopl-CC-II,-0.098720853623986915
-3.4189049170665493,-1.6196383539541672,Neopl-Bulk,0.09143909250551685
1.9425318075962317,-2.4493941370352217,Neopl-CC-I,-0.07355278073347149
-3.700513498609518,2.402325242389827,Neopl-Bulk,-0.00987816577303674
-1.502374784772848,-1.8085335794790696,Neopl-Bulk,0.08717694127488917
-2.0874041484050503,-1.9019328657492112,Neopl-Bulk,0.0535211512111885
-0.5380112097911587,-0.9057776633604476,Neopl-CC-I,0.06522134310850852
-3.5391045973949184,0.4430448111192275,Neopl-Bulk,0.3307641516967045
-4.333784239118551,1.597040384639888,Neopl-Bulk,0.19830834649667883
-1.8363944457225552,0.8407454188958694,Neopl-Bulk,0.032714340598793856
0.24702934200539683,-3.9893485609396406,Neopl-CC-III,-1.99902879998215e-4
-1.932231085126852,0.01305417679706114,Neopl-Bulk,0.00518736359128763
-1.203618066137289,-0.6457559768064927,Neopl-Bulk,-0.0337039602662389
-1.1801133320979824,1.40143009983459,Neopl-Bulk,0.052171674581019456
-3.4262768195323696,-2.2714225355490156,Neopl-Bulk,0.14935316172535312
