Level_4,Hypoxia_score
Neopl-CC-I,-0.03905046099637671
Neopl-Bulk,0.1716918891031316
Neopl-Bulk,0.11541197824437499
Neopl-RNA-low,0.0030146149473084527
Neopl-Bulk,0.005102592962564101
Neopl-OPC,0.0062179546501106575
Neopl-CC-II,-0.037714795314841565
Neopl-Bulk,0.020657527878399584
Neopl-CC-III,-0.03840590882956968
Neopl-Bulk,-0.05668458297446716
Neopl-CC-II,-0.032030196178103876
Neopl-Bulk,0.275920645026336
Neopl-Bulk,0.0022776332268421573
Neopl-CC-I,-0.017531973774710996
Neopl-CC-I,-0.03709564967043438
Neopl-CC-I,-0.033870494651837
Neopl-CC-III,0.024169353128860982
Neopl-Bulk,-0.006710097814899285
Neopl-CC-II,-0.11757511680101096
Neopl-CC-I,-0.006073875354415004
Neopl-CC-III,-0.08633297964054498
Neopl-CC-III,0.10368803000276355
Neopl-Bulk,0.011681461395091464
Neopl-RNA-low,0.05498036218685487
Neopl-CC-III,0.015833250234563445
Neopl-Bulk,0.04572876953503158
Neopl-CC-III,-0.10937213813783725
Neopl-Bulk,-0.016375283751445036
Neopl-CC-I,-0.05412381206426187
Neopl-Bulk,0.13245387940624148
Neopl-Bulk,0.08223413767127774
Neopl-Bulk,0.09233891611995404
Neopl-Bulk,0.02312078941480611
Neopl-Bulk,0.33552577779188847
Neopl-CC-III,-0.046758137044920156
Neopl-CC-III,-0.02470407105131822
Neopl-CC-II,-0.03795578037097824
Neopl-Bulk,-0.02546068559943193
Neopl-CC-I,-0.02255541283746304
Neopl-CC-II,1.8429587912960343e-4
Neopl-CC-I,-0.059204102737938025
Neopl-OPC,0.020124892867742605
Neopl-CC-II,-0.008767916794314767
Neopl-COP,-0.08207959570242318
Neopl-Bulk,0.0433069565932494
Neopl-CC-III,0.12793260468331025
Neopl-CC-II,-0.0035703948328424384
Neopl-CC-I,0.012173491579122009
Neopl-Bulk,0.11671654178098023
Neopl-CC-II,-0.032957165867730565
Neopl-CC-I,0.011481201256606899
Neopl-CC-II,0.0038533026559391947
Neopl-Bulk,-0.008445743990285581
Neopl-Bulk,0.03003524282806347
Neopl-CC-III,0.035366411899860395
Neopl-Bulk,0.04509373934570937
Neopl-Bulk,-0.07959920858361913
Neopl-CC-III,-0.025864401121325542
Neopl-Bulk,0.06268091962975847
Neopl-Bulk,0.16619636030196444
Neopl-Bulk,-0.02226181367298602
Neopl-Bulk,-0.06945930960215213
Neopl-Bulk,-0.014183305662361145
Neopl-CC-II,-0.05831255482541531
Neopl-Bulk,-0.027882502527986852
Neopl-Bulk,0.06220978988418335
Neopl-Bulk,0.006060675492867429
Neopl-CC-II,-0.052905101050766845
Neopl-COP,0.08251476926970436
Neopl-Bulk,0.10555455249310425
Neopl-Bulk,0.006103402485110432
Neopl-CC-I,-0.10373629678946017
Neopl-Bulk,0.07090504925267416
Neopl-Bulk,0.0558457548354524
Neopl-CC-III,-0.009824492031653587
Neopl-CC-II,-0.042712289063074727
Neopl-Bulk,0.08442848516340862
Neopl-Bulk,-0.03411165496316737
Neopl-CC-III,-0.056127488533390446
Neopl-Bulk,0.14163653265487086
Neopl-Bulk,0.12077825051157404
Neopl-CC-I,-0.07369883706406327
Neopl-Bulk,0.06470286677744094
Neopl-Bulk,-0.09063689668996366
Neopl-Bulk,0.0036738827109261685
Neopl-Bulk,0.07685626396926443
Neopl-Bulk,0.07820333752216779
Neopl-Bulk,-0.01351980867266045
Neopl-CC-III,-0.06227092707650084
Neopl-Bulk,-0.036005551618658926
Neopl-OPC,-0.026988782822888857
Neopl-Bulk,0.07278183722094145
Neopl-Bulk,0.012564567146880146
Neopl-CC-III,-0.03910727640347672
Neopl-Bulk,0.0068594454706203956
Neopl-CC-III,-0.013425571388940016
Neopl-CC-I,0.029208049509200362
Neopl-Bulk,0.048713539681400464
Neopl-Bulk,0.18899500539851766
Neopl-Bulk,0.10120645509306808
Neopl-CC-II,0.0966950480805141
Neopl-CC-III,-0.0942444395746184
Neopl-CC-II,-0.07311860397301212
Neopl-Bulk,-0.06252933328353907
Neopl-Bulk,0.16714960041177562
Neopl-CC-II,-0.06663224454004552
Neopl-OPC,0.014689168239002903
Neopl-RNA-low,-0.03510664141229902
Neopl-Bulk,0.230606570383585
Neopl-Bulk,-0.07347605297019566
Neopl-Bulk,-0.027352437786945294
Neopl-CC-II,-0.024955627291901428
Neopl-Bulk,-0.0013986886738064919
Neopl-CC-III,-0.03659684388026785
Neopl-Bulk,0.0333355019436144
Neopl-Bulk,0.021097658443784917
Neopl-Bulk,-0.031321801166173224
Neopl-CC-III,-0.04521421912165258
Neopl-CC-II,-0.098720853623986915
Neopl-Bulk,0.09143909250551685
Neopl-CC-I,-0.07355278073347149
Neopl-Bulk,-0.00987816577303674
Neopl-Bulk,0.08717694127488917
Neopl-Bulk,0.0535211512111885
Neopl-CC-I,0.06522134310850852
Neopl-Bulk,0.3307641516967045
Neopl-Bulk,0.19830834649667883
Neopl-Bulk,0.032714340598793856
Neopl-CC-III,-1.99902879998215e-4
Neopl-Bulk,0.00518736359128763
Neopl-Bulk,-0.0337039602662389
Neopl-Bulk,0.052171674581019456
Neopl-Bulk,0.14935316172535312
Neopl-Bulk,0.08474018037951714
Neopl-CC-II,-0.061089109604385794
Neopl-CC-III,0.14447691718599942
Neopl-Bulk,0.13068036889896434
Neopl-CC-I,-0.03715686264340601
Neopl-Bulk,-0.011415886223531624
Neopl-Bulk,0.17374874694582138
Neopl-COP,-0.053503010701277665
Neopl-Bulk,-0.056580629646548086
Neopl-CC-III,-0.10689200110979019
Neopl-Bulk,0.37162860215185606
Neopl-Bulk,0.1365552486862981
Neopl-CC-I,-0.05232280689013341
Neopl-Bulk,0.14139630591486324
Neopl-CC-II,-0.04460237678555756
Neopl-CC-II,-0.08263421057175063
Neopl-CC-II,-0.009549179831631283
Neopl-CC-III,0.07374394988744515
Neopl-Bulk,-0.01666279656779812
Neopl-Bulk,-0.019385707876419245
Neopl-Bulk,-0.01220751372088491
Neopl-CC-III,-0.0635100561135356
Neopl-Bulk,0.3152367650599266
Neopl-OPC,0.05776178234298607
Neopl-Bulk,-0.01859955058243018
Neopl-CC-I,-0.004841990332589641
Neopl-CC-II,0.04084593515747137
Neopl-OPC,-0.011013108183062503
Neopl-Bulk,0.08180444680829113
Neopl-CC-II,0.0012055102892438718
Neopl-Bulk,-0.010470834573592436
Neopl-CC-III,-0.036181558519508855
Neopl-Bulk,-0.017787228132394584
Neopl-Bulk,-0.011292209704136802
Neopl-CC-II,-0.15058088036658904
Neopl-CC-II,-0.06822330438802687
Neopl-Bulk,0.020338749568626413
Neopl-Bulk,-0.04305332163711367
Neopl-Bulk,0.14765868977991292
Neopl-Bulk,0.004340247739632652
Neopl-Bulk,0.03917339060304892
Neopl-CC-I,-0.012350374884368298
Neopl-Bulk,-0.04973932393835173
Neopl-Bulk,-0.04663419710565919
Neopl-CC-III,-0.007394251699161025
Neopl-Bulk,-0.09317661708765507
Neopl-Bulk,0.0482913789952546
Neopl-Bulk,-0.05206309890643107
Neopl-Bulk,0.12615060391557403
Neopl-Bulk,0.10343042590733925
Neopl-Bulk,0.05787203418851922
