gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,comparison,direction
Wars,0.952080732093781,-0.35403293509906253,0.282,0.265,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Prkab2,0.6474641191115161,-0.35408332089289685,0.097,0.104,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Tom1l2,0.3248865840487064,-0.3546750351206355,0.508,0.475,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Prss23,0.8700596218610078,-0.3550754021024958,0.456,0.424,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Mpdz,0.8712375437484525,-0.35555960989610724,0.316,0.289,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Tbkbp1,0.18306538673129472,-0.35682579504505885,0.19,0.216,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Pdia6,0.0568223879057462,-0.35902386872045167,0.711,0.665,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Aldh2,0.04599588963018146,-0.3598720355583961,0.591,0.607,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Plpbp,0.3228021060691513,-0.35999843054021863,0.23,0.245,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Tmem59,1.88259298442959e-4,-0.36046418254632706,0.833,0.777,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Net1,0.3262338925122357,-0.36054022421698434,0.235,0.248,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Taco1,0.9133765292482577,-0.3605700695949883,0.149,0.147,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Nol6,0.7245226505274872,-0.3607680255186154,0.312,0.279,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Mipep,0.16798522533511043,-0.36144649855737554,0.163,0.128,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Thap3,0.3895298876411879,-0.3616408158730562,0.09,0.105,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Pitpnm2,0.7949479276877207,-0.36197780655132794,0.237,0.234,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Tmem185b,0.9947546569343365,-0.36365827082978885,0.187,0.182,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Vgll4,0.32044359802947137,-0.364188399568118,0.379,0.373,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Nuak1,0.347288557959483,-0.3644222655272433,0.187,0.161,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Fmc1,0.14718314586795836,-0.3645985985713104,0.248,0.275,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Gnptg,0.19721920320304032,-0.36474837946350314,0.492,0.478,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Rabac1,0.002381958743778083,-0.36486359909094146,0.698,0.686,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Cdk20,0.15985687501727075,-0.3659304003543684,0.084,0.108,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Dmtn,0.7993485164192938,-0.3661994083575302,0.113,0.118,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Tmem132b,0.8127839960389279,-0.36669976922430036,0.156,0.156,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Hadhb,0.03053752066327301,-0.36715842230517626,0.752,0.708,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Cluap1,0.8660943411227303,-0.36875373661891064,0.163,0.16,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Ramp2,0.4844058207236029,-0.36902120237239133,0.196,0.208,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Ttc19,0.24786736877107798,-0.36923863952303604,0.192,0.213,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Lamp1,6.006052500437617e-5,-0.36956586858030027,0.844,0.808,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Myl6,0.7411834719022132,-0.370053221156449,0.26,0.24,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Lpcat1,0.0013947893479323396,-0.3703411760498694,0.664,0.659,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Kif1b,8.363409158933782e-5,-0.37073575443664786,0.824,0.801,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Pdlim4,0.05743412886982525,-0.3724933902169443,0.679,0.658,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Cblb,0.9420772212641936,-0.37301828295057193,0.149,0.142,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Tnks1bp1,0.8844754501178533,-0.37348693145970613,0.309,0.288,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
B4galt4,0.5250139961682077,-0.3736426533198064,0.248,0.255,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Dok6,0.42992673808936027,-0.3740479390671314,0.199,0.173,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Cgrrf1,0.4757130395344697,-0.3754571208654245,0.212,0.222,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Uqcrfs1,0.7193531334762816,-0.37609358450028807,0.657,0.592,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Hk2,0.6099857774317647,-0.3764636779298065,0.142,0.15,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Hspa13,0.39765773573392116,-0.3768433836782279,0.298,0.297,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Cltb,0.30821208654359156,-0.3772972296702033,0.799,0.712,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Elp4,0.8962843780271817,-0.3773573651095634,0.323,0.296,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Fasn,0.01310155053479541,-0.3778024706824452,0.767,0.742,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Gigyf1,0.9191195805615193,-0.3779815464045828,0.201,0.187,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Slc30a10,0.4037931378565879,-0.37848789719711107,0.196,0.21,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Tmbim4,0.692936976532941,-0.3788482643801436,0.479,0.419,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Polr3h,0.18729788550269552,-0.37993431877831463,0.736,0.656,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Garem2,0.9642008602985497,-0.38026367346162093,0.203,0.196,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Lgmn,0.02972958262254042,-0.38082184550391573,0.562,0.567,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Psmf1,0.4947912523904595,-0.38105521342805626,0.203,0.212,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Gbp9,0.6792495055492143,-0.38125014706592353,0.108,0.098,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Cav2,0.10911348335770508,-0.38127098193100695,0.648,0.595,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Prdx3,0.4708726385744183,-0.38173444086269415,0.361,0.31,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Jkamp,0.5475958708512736,-0.3837062031976639,0.424,0.359,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Map7d1,0.2616103445870128,-0.3841915115517601,0.698,0.63,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Hibadh,0.0920460385796135,-0.3855190982463986,0.492,0.513,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Unc119b,0.943476039819741,-0.3861212872661771,0.269,0.254,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
mt-Nd3,0.05217219788313975,-0.3865420540722324,0.67,0.676,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Hivep3,0.4974219619199388,-0.38751733729801385,0.233,0.238,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Tcta,0.6233537134586584,-0.38752084417310506,0.201,0.206,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Galnt18,0.6258856248800386,-0.3879616533503696,0.102,0.109,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Arrb1,0.0815803960072476,-0.3881635764975791,0.404,0.425,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Hexb,0.20216178674916283,-0.38839842371185607,0.501,0.415,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Mdh1,0.18948684631072887,-0.3884784013348821,0.643,0.614,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Rhoq,0.005761044814737348,-0.3895034669267441,0.688,0.679,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Sfxn3,0.5000409503869593,-0.39020790538560957,0.345,0.342,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Spr,0.4078287707891777,-0.39084900263154176,0.196,0.213,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Cops7a,0.6218874011202988,-0.3911775976418082,0.445,0.429,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Fkbp9,0.015758252870508985,-0.39210926277535385,0.603,0.595,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
