gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,comparison,direction
Shisa3,9.803454525794171e-38,8.189331326762831,0.221,0.003,1.8698128817047223e-33,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Tg-RFP-2,2.6479419418997264e-138,6.118828343132311,0.727,0.032,5.050419665785348e-134,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Tg-hPDGFB-nHA,9.940782514711213e-180,6.078258403527366,0.955,0.195,1.8960054490308696e-175,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Npy,1.3325587144220395e-86,6.051430059276191,0.524,0.032,2.541589236017156e-82,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Nkd2,6.977273051839561e-25,6.008638944742671,0.158,0.006,1.3307752891773595e-20,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Tg-RFP-1,2.3491456389353487e-140,5.993488079926391,0.734,0.031,4.4805254771413905e-136,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Myl1,3.3890778562304174e-30,5.982585359532923,0.176,0.001,6.463988195188275e-26,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Sema4f,1.2859437385614342e-24,5.903272292524434,0.16,0.007,2.4526804925582234e-20,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Il1rl2,2.3469361891851066e-24,5.81554573123583,0.147,0.003,4.4763113936327537e-20,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Sh3tc2,3.3920209747693976e-21,5.67320642649053,0.129,0.003,6.469601605177672e-17,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Col20a1,2.0869690653352425e-24,5.3779743986586945,0.208,0.028,3.980476098313908e-20,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Pcdha4,1.2588047109980942e-19,5.1407834591397075,0.12,0.003,2.4009182252866652e-15,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Zfp536,1.6063608379677925e-17,5.090999105274559,0.115,0.006,3.0638120262559707e-13,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Bmf,9.21733896040756e-17,5.05025812508815,0.111,0.006,1.7580230599185339e-12,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Ebf1,1.7745789177446954e-18,4.970122139780772,0.113,0.003,3.3846543698144577e-14,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Apod,9.710783522906122e-12,4.809619244839116,0.185,0.06,1.8521377413238845e-7,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Col19a1,1.4529370664317782e-83,4.685242286527465,0.53,0.042,2.7711868668053305e-79,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Fst,7.363674799763474e-28,4.641213135149849,0.194,0.013,1.4044736945588875e-23,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Cdkn2a,2.133310557792604e-138,4.391706849241092,0.824,0.111,4.0688632268778333e-134,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Mab21l1,6.183454614931125e-16,4.285365378286668,0.106,0.006,1.1793702987058135e-11,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Cntn3,1.520486542016098e-17,4.262902579520632,0.12,0.007,2.900023981587304e-13,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
En1,1.2806031579149366e-30,4.179102132305301,0.203,0.01,2.4424944030911586e-26,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Tecta,6.930319191526543e-41,4.120453998360423,0.293,0.024,1.3218197793998575e-36,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Dll3,1.5088585799163844e-26,4.111066721764868,0.181,0.01,2.87784596947452e-22,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Klhl4,2.6794456421394086e-23,4.0682083423421656,0.165,0.011,5.110506673252494e-19,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Enpp1,1.6518517318511089e-21,4.036395521433258,0.165,0.015,3.15057680815962e-17,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Fbn2,1.03653904809349e-47,3.9638232476254904,0.345,0.031,1.9769909264287136e-43,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Cdh8,8.227547764121511e-20,3.9380809171660967,0.144,0.011,1.569240185050896e-15,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Igf2bp2,7.220767466918595e-31,3.87278276027087,0.221,0.017,1.3772169789653838e-26,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Tbx2,1.3280915463324259e-42,3.845052350166762,0.278,0.013,2.533069006319836e-38,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Galnt6,1.0496894774415985e-43,3.818688863550635,0.327,0.032,2.0020727403243608e-39,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Tmod1,5.976781028472551e-17,3.808705993051669,0.147,0.02,1.1399514455605695e-12,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Arhgap10,1.121462273993472e-32,3.7869381416373966,0.248,0.024,2.138964995187749e-28,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Kit,7.437954301742172e-27,3.7613394117189687,0.196,0.015,1.4186410239712845e-22,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Ppfia2,3.793580936100766e-32,3.7569745518879794,0.23,0.017,7.235496919424991e-28,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Scn3a,1.2752381261968233e-30,3.7476018317261306,0.239,0.025,2.432261678095201e-26,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Tmem196,5.732196735669503e-32,3.724218917386315,0.233,0.018,1.0933018833942443e-27,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Myrf,1.1655654590358163e-12,3.719143322297288,0.113,0.017,2.2230830000190124e-8,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Galnt13,3.818023606592951e-18,3.7175925512695036,0.151,0.018,7.282116424854736e-14,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Vit,2.0055190459388343e-77,3.7146402845873587,0.555,0.072,3.825126476319139e-73,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Fam129a,1.4482039520667338e-16,3.7063812281499158,0.156,0.025,2.7621593977768815e-12,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Kif26b,5.512595329163685e-26,3.6629949979898786,0.205,0.021,1.0514173071313895e-21,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Moxd1,1.440257797080078e-81,3.6571059298478836,0.578,0.073,2.7470036963708328e-77,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Foxf1,1.1662268532803414e-19,3.6383752300324175,0.14,0.01,2.224344477261595e-15,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Lamb1,2.665902333927301e-18,3.6117792369672808,0.129,0.008,5.084675521499541e-14,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Acan,2.3414388945156944e-16,3.6051053898295216,0.131,0.014,4.4658264035097836e-12,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Snai2,1.5955476335674063e-18,3.582827388536097,0.156,0.02,3.043188001503114e-14,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Tnni1,1.5666460263482548e-24,3.5671863283521263,0.19,0.018,2.988063966054026e-20,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Fign,7.187905141001637e-24,3.5324015570266383,0.192,0.021,1.3709491475432422e-19,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Capn6,1.3881295161968716e-16,3.5172253876884447,0.122,0.01,2.647579426242293e-12,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Rbfox1,2.3515033354954093e-22,3.4972400855052768,0.185,0.022,4.485022311790394e-18,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Cldn11,7.089454954688986e-26,3.4848255698404613,0.314,0.081,1.3521717435078302e-21,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Erbb3,1.668136331283782e-28,3.479485228182859,0.23,0.027,3.1816364246575575e-24,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Gabra3,3.835814771590217e-27,3.4617877329537023,0.221,0.025,7.316049513854021e-23,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Igsf9b,2.0356585526780387e-50,3.453104296175501,0.458,0.087,3.882611557522823e-46,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Prkg1,4.323380996653157e-32,3.444483116147462,0.257,0.029,8.245984574916566e-28,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Fam89a,3.568177712933756e-12,3.4397772338438783,0.113,0.018,6.805585351878552e-8,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Sstr1,2.9848669014114907e-25,3.42359712126296,0.21,0.025,5.693036641062136e-21,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Sema3e,1.1815342683296015e-16,3.4045694104685973,0.153,0.024,2.253540309985049e-12,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Adgra2,6.936727515179777e-14,3.388113009841568,0.124,0.018,1.323042038970239e-9,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Itga9,1.4093684482249641e-27,3.3651777926742383,0.217,0.022,2.688088441299474e-23,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Hs6st2,1.0575836721006205e-13,3.3640707171060784,0.104,0.01,2.0171293377975133e-9,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Arhgap24,2.3454171923641588e-12,3.3632731998352847,0.129,0.025,4.47341421099616e-8,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
B4galnt4,5.1043530871876685e-23,3.3480484127752543,0.172,0.014,9.73553264319304e-19,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Kcna1,9.258896456986887e-14,3.3304037136471245,0.169,0.042,1.765949321241109e-9,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Cntn4,1.1779452644215897e-11,3.329996877991463,0.104,0.015,2.2466950028312981e-7,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Inava,1.0855629323034718e-68,3.324651428460166,0.512,0.063,2.0704941807824116e-64,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Gpr17,1.8871075317955674e-15,3.314387110784269,0.183,0.043,3.5992801953936856e-11,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Khdrbs2,5.861252118556917e-18,3.303404099389256,0.138,0.013,1.1179166165723609e-13,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Synpr,5.253157439653757e-20,3.3011957585077014,0.167,0.02,1.001934718465161e-15,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Pcp4,6.19752792499851e-58,3.289972683920414,0.524,0.108,1.182054501134966e-53,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Rerg,1.393359856980919e-27,3.2733482339840907,0.221,0.024,2.657555255219707e-23,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Sema3c,9.838317193190405e-28,3.2717873587184183,0.223,0.025,1.876462238257206e-23,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Vash2,9.366167394280658e-17,3.2633449475967504,0.126,0.011,1.7864091071111499e-12,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Vwc2,8.444546200636625e-28,3.238563576137272,0.217,0.021,1.6106282968474236e-23,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Gjc3,8.19920814435138e-57,3.2334704161449976,0.445,0.058,1.5638349693721388e-52,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Arhgap20,7.187933237435714e-14,3.2280522840752406,0.124,0.018,1.3709545063761136e-9,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Stum,7.780703344042961e-22,3.2182082935181535,0.16,0.013,1.484013548809314e-17,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Slc2a6,2.725039037658977e-12,3.2117858354878326,0.108,0.015,5.197466956526967e-8,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Pcdh20,1.1771193357189519e-13,3.191438357722754,0.133,0.022,2.245119709016757e-9,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Gbx2,1.4378970753772663e-14,3.1852596672004374,0.12,0.014,2.74250109186706e-10,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Ndnf,9.846398795858502e-18,3.172892411208994,0.21,0.049,1.878003642334092e-13,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Sema4c,6.036258083627527e-47,3.1598137593818363,0.418,0.069,1.1512955042902782e-42,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Nhs,3.975370755089878e-13,3.1482329650207057,0.12,0.018,7.582224641182924e-9,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Fstl4,1.0759404115643975e-46,3.143548889767035,0.409,0.066,2.0521411469767753e-42,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Dlk1,5.560034297032168e-19,3.1353269543348112,0.178,0.028,1.0604653414729455e-14,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Stmn4,4.19611263471802e-30,3.1312928371666833,0.293,0.055,8.003245628197679e-26,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Cda,8.875580413535938e-18,3.1175931759116087,0.133,0.011,1.6928394522737094e-13,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Matn2,1.3539948237180557e-15,3.1147270820796784,0.271,0.1,2.5824743272774477e-11,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Palmd,3.53720937848731e-26,3.1123827102287587,0.255,0.045,6.746519447588846e-22,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Htr1b,7.832491158873872e-21,3.1013175420426116,0.172,0.02,1.4938910387320135e-16,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Sorcs3,2.9671268308200924e-17,3.0942001968567476,0.158,0.024,5.659201004423162e-13,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Hlx,1.6559976159850002e-23,3.0856062488507447,0.174,0.014,3.158484252968191e-19,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Maml3,9.043897833583459e-13,3.085486737205635,0.117,0.018,1.7249426337993732e-8,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Hecw2,4.107369220199862e-21,3.069272472983739,0.174,0.02,7.833985313687196e-17,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Lims2,9.553816049212541e-12,3.066681700256364,0.108,0.017,1.822199335066308e-7,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Hmga2,4.109525152624513e-10,3.0581147154201194,0.111,0.024,7.838097323600734e-6,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Shroom1,2.8369580052967023e-18,3.056430288273613,0.135,0.011,5.4109300035024e-14,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Fstl5,1.1130952537178051e-11,3.0539230867995713,0.111,0.018,2.1230065774159698e-7,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Mkx,1.3336746819564522e-21,3.0473075076804736,0.194,0.028,2.543717720895541e-17,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Sorcs1,2.075640914068554e-75,3.0243704770657285,0.614,0.119,3.958869915402953e-71,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Lrrtm4,1.3843701864188225e-25,3.0221897521694854,0.226,0.031,2.6404092565566202e-21,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Gask1b,1.1627134118052761e-15,3.006677768302713,0.133,0.017,2.217643290336203e-11,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Elfn1,2.6467466371149328e-31,3.002265982347132,0.262,0.032,5.048139860969311e-27,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Plxnb3,3.0632270969202903e-27,2.993009192299948,0.235,0.031,5.84249304195607e-23,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Mdfi,2.525568464515326e-23,2.9810503085969486,0.19,0.021,4.817016732370082e-19,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Cacna1g,2.276757321113033e-16,2.9700237264943143,0.131,0.014,4.342459238558888e-12,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Pcdhb11,6.082387149706818e-19,2.9446096122183807,0.172,0.025,1.1600937010635813e-14,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
St3gal6,4.89060299690777e-30,2.92882863818651,0.271,0.041,9.32784709600219e-26,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Foxc1,9.962602760254806e-11,2.9102165662971036,0.113,0.022,1.9001672244633992e-6,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Lmo1,8.571501321736922e-42,2.903072190379836,0.433,0.097,1.6348424470948831e-37,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Sh3bp5,8.000957206006912e-39,2.859536334005352,0.321,0.039,1.5260225679016984e-34,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Slc8a3,3.335810943441167e-32,2.8560593056470553,0.289,0.043,6.362392212425338e-28,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Nxph1,2.283939755464786e-42,2.8520097182796014,0.377,0.059,4.3561582955979864e-38,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Sh3d19,6.758660741184583e-81,2.851327739945193,0.666,0.136,1.2890793631661354e-76,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Gal3st1,3.8906705760953395e-30,2.8459424057249922,0.278,0.043,7.420675989786642e-26,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Kctd16,1.0347177440630735e-13,2.844781317882892,0.115,0.014,1.9735171532515e-9,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Col18a1,3.717609023675545e-33,2.842519905761969,0.352,0.076,7.090595690856367e-29,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Svep1,1.202550945105321e-16,2.8284262913252545,0.14,0.017,2.2936254175993786e-12,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Sox10,3.911357767940422e-77,2.826059995039207,0.702,0.171,7.460132670792767e-73,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Itga2,7.69081996773482e-21,2.8249462232170055,0.196,0.031,1.4668700924460622e-16,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Col9a2,2.5474735843936257e-18,2.819519865709015,0.221,0.053,4.8587963675139625e-14,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Sema3a,3.674556681089487e-21,2.8079079876851045,0.19,0.027,7.008481957841978e-17,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Pcdh15,9.537883201488283e-53,2.80120208642825,0.456,0.072,1.81916046301986e-48,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Lrrc8b,1.075412688649509e-46,2.800606575775369,0.483,0.116,2.0511346210612085e-42,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Kctd12,1.775548223515092e-18,2.7945744095080616,0.312,0.107,3.386503126710335e-14,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Dusp26,1.6863044413050254e-42,2.7927795482968403,0.368,0.053,3.216288460901075e-38,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Grm7,6.897429501595808e-15,2.784056894741813,0.122,0.014,1.3155467288393684e-10,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Ets1,3.380436066686724e-41,2.782629674383066,0.436,0.102,6.447505709991588e-37,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Gng2,7.97193438349523e-71,2.7810258278515927,0.562,0.086,1.520487044964045e-66,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Tslp,1.466218350354953e-10,2.7743723237669222,0.106,0.02,2.7965182596320014e-6,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Syt16,2.8042718785858974e-26,2.7736051312290293,0.233,0.032,5.348587754026882e-22,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Dact1,4.182940565436757e-21,2.7729225665815997,0.183,0.024,7.978122540457527e-17,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Stk33,6.755549127051445e-12,2.7710791084689665,0.115,0.02,1.288485885002522e-7,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Galnt17,2.1928239584836587e-30,2.770422205376052,0.271,0.039,4.1823731360158825e-26,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Syt4,1.4895546594256208e-14,2.767566086818052,0.135,0.021,2.8410276019224864e-10,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Tmem117,8.990680836439876e-27,2.763277013767136,0.278,0.055,1.7147925559341775e-22,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Rnf165,6.3587625673425796e-15,2.760959585380047,0.108,0.008,1.2128067844692502e-10,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Cnih2,1.3940480308491944e-13,2.7572643023823833,0.117,0.015,2.6588678092386687e-9,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Flrt3,1.0315246053347856e-25,2.7560210214064105,0.244,0.039,1.9674268797550366e-21,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Zfp57,2.429162473254539e-21,2.750951172929631,0.21,0.036,4.633141585238382e-17,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Stard13,7.262972919684282e-50,2.7500764447484336,0.521,0.129,1.3852668249713832e-45,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Cntn6,3.479511929530152e-13,2.7455044432921087,0.102,0.01,6.6364731031928585e-9,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Gjb1,1.3383042334000743e-13,2.738191579605704,0.111,0.013,2.552547664363962e-9,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Enpp2,5.318423747098353e-50,2.731769397934999,0.634,0.222,1.0143829612840689e-45,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Plppr1,1.5729847782646126e-21,2.7317118100721367,0.217,0.039,3.0001538675840956e-17,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Hist3h2ba,3.792862323264446e-31,2.7317037061481946,0.273,0.038,7.234126309162278e-27,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Ptpro,8.369489041367614e-60,2.730708866435105,0.499,0.077,1.596312644860045e-55,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Pcdhb10,5.0501855611710324e-20,2.718273890319378,0.208,0.039,9.63221892082151e-16,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Pld5,8.246760713434273e-15,2.7158038503560573,0.122,0.014,1.572904670873319e-10,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Pdzrn4,1.706197143149441e-19,2.712585865943108,0.187,0.031,3.2542298111289286e-15,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Ank3,1.336119063848236e-79,2.709626563177375,0.646,0.107,2.5483798904777406e-75,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Snca,4.151180691524034e-26,2.6939623694154173,0.235,0.034,7.917546932943791e-22,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Plppr5,2.2561010000798167e-79,2.689694599018486,0.655,0.119,4.3030614374522347e-75,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Cdc7,3.072420376567759e-14,2.682930341375998,0.104,0.008,5.860027384227687e-10,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Kcnmb4,5.782714185410768e-36,2.682354979101396,0.336,0.056,1.1029370765833957e-31,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Cd200,9.416945401506801e-39,2.6762806241068073,0.544,0.188,1.7960939964293922e-34,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Epb41l4b,7.897653858740966e-42,2.675195806971093,0.384,0.065,1.5063195204776644e-37,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Slitrk3,2.834694241353651e-20,2.670790114650435,0.156,0.014,5.406612326533818e-16,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Ptpre,1.9894621907922953e-36,2.670144342729128,0.325,0.048,3.794501236498145e-32,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Pcdhb19,2.650961675063479e-23,2.6681875199001763,0.201,0.025,5.056179202848573e-19,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Sytl2,5.92570059223805e-23,2.664426357087569,0.237,0.045,1.1302088739575633e-18,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Susd4,2.687280634288318e-50,2.663702727173705,0.467,0.086,5.125450353778109e-46,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Emilin1,9.408162560065104e-25,2.661177009726572,0.23,0.035,1.7944188450812174e-20,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Mex3a,8.921407787646532e-23,2.658428564190711,0.187,0.021,1.7015801073378232e-18,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Cd1d1,1.1218685670484921e-11,2.6547164763993094,0.102,0.014,2.139739917931589e-7,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Tmem26,1.2415001364683017e-23,2.6540202504304764,0.203,0.025,2.3679132102859915e-19,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Gria4,1.7783945165838162e-61,2.6523052465593535,0.54,0.093,3.391931861480313e-57,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Prr36,1.4358420846201319e-25,2.6461115170984577,0.237,0.036,2.7385816079959776e-21,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Runx1,5.054235879541247e-23,2.644870868421764,0.244,0.048,9.639944093049021e-19,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Myt1l,1.2221575634638406e-24,2.6404351397735324,0.217,0.029,2.331021120794583e-20,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Basp1,3.7769912032485604e-106,2.6316637432034944,0.853,0.231,7.203855321955979e-102,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Atcay,5.3685870032524715e-46,2.626031597002858,0.433,0.077,1.0239505991303438e-41,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Lrrc7,2.2052547089611466e-16,2.6235795168449236,0.153,0.024,4.206082306401595e-12,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Pnlip,7.431666532341523e-27,2.62296771558452,0.35,0.1,1.4174417577134987e-22,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Sh3pxd2a,1.4989074018853663e-52,2.609588115254818,0.472,0.081,2.858866087615959e-48,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Adamts4,3.114348524702657e-50,2.60687427766928,0.447,0.074,5.9399969411653775e-46,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Fam78b,6.6492466644699955e-12,2.5881916217467817,0.142,0.034,1.2682108163143622e-7,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Dmrtb1,1.8807437406479343e-16,2.587353403014638,0.151,0.022,3.587142536537805e-12,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Klk8,1.768830908997923e-10,2.586509792160501,0.106,0.02,3.373691192731739e-6,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Pde8a,1.070209561626491e-28,2.5705869757038498,0.273,0.045,2.041210696890206e-24,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Adam19,4.630540057499299e-16,2.5672431265988513,0.149,0.022,8.831829051668413e-12,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Gabrb2,3.2963832898935154e-27,2.566010385282795,0.273,0.049,6.287191848813902e-23,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Liph,8.050228547785703e-21,2.563432315304116,0.187,0.027,1.535420090919167e-16,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Tmem159,1.142397344290207e-38,2.560780064198363,0.402,0.086,2.1788944547647118e-34,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
