geneset,Astrocyte R,Astrocyte TE/NT,Ependymal,Neopl-ACR,Neopl-Bulk,Neopl-CC-I,Neopl-CC-II,Neopl-CC-III,Neopl-COP,Neopl-ECM,Neopl-NC,Neopl-OPC,Neopl-RNA-low,Neural,OPC/COP/OLG
Cahoy_JNeurosci_2008_oligodendrocyte,-0.8161947139657755,-1.0600180139671376,-1.2099343243823426,-0.2763304483512664,-0.07160335870603926,-0.22029216923332381,-0.3570684690234098,-0.29290938492811786,1.6339542971699297,0.05328104293071727,-0.6843556095297469,0.2529174028317611,-0.3551411428624679,-0.7316279436574488,2.10412822065118
Cahoy_JNeurosci_2013_OL_myel,0.13225359689977767,0.06924081381557244,-0.09671858634743194,0.1626952189457394,-0.27618762179003853,-0.4400704057222942,-0.4870115883590018,-0.4446340670393486,0.8949602732129703,-0.19283156057795142,-0.23004595493580263,-0.3011933994598874,-0.27022655642780335,-0.16488187117021608,2.045987973618506
Cahoy_JNeurosci_2014_MOG_pos,0.42125934710973284,0.28025608680204656,0.12061833536974258,0.2093919814025627,-0.28508929518121096,-0.42764928036440275,-0.4238348482426034,-0.4269270674873584,-0.1028797749575124,-0.23054534659535939,-0.1879932676689674,-0.33542675476775446,-0.37928049177537365,-0.2127276132073523,2.004356179711373
Richards_Developmental_2021,-0.5060449649588982,0.3499635154242634,-1.3682559856600185,-0.3697476941083261,0.20656323926121375,-0.28265509147880163,-0.7004917456218116,-0.843351804781178,0.5403596336565298,-0.4152991082707182,0.4579030018274464,1.3752877229850038,-0.5036171036024665,0.695605909812861,0.6463631765455335
Nowakowski_Science_2017_EN-PFC1_upreg,-0.789961351715272,-0.43086331644889597,-1.2400770863551656,-0.3004287684359355,0.15688378742474335,-0.32301923980398317,-0.7063555305899283,-0.8039466560103953,0.5073599079998475,-0.37332812694518774,1.6500164242317912,0.9529157035327446,-0.2302107531848374,1.8086140453039592,1.136077567015904
Nowakowski_Science_2017_IN-CTX-CGE2_upreg,-0.7358830392562412,-0.37640042998048057,-1.373471547425124,-0.26687124613105717,0.005251558759418173,-0.14147246862750482,-0.29428661501108255,-0.2634308257942953,0.10161812904619197,-0.1344975760292736,0.31434455597507616,0.6078136570857756,-0.2318426153685461,3.0005927816584608,0.20043869680104576
Nowakowski_Science_2017_IN-CTX-MGE2_upreg,-1.1659722599953009,-0.8623596781566715,-1.6208346542633747,-0.235644765346943,0.10003339693733118,-0.1340953921019026,-0.323911253558356,-0.31101710030269614,0.6279118463047958,-0.14507991254485011,-0.24673323062145675,0.7214229485651683,-0.3319328753424507,2.3476056067582234,0.6497287777684244
Nowakowski_Science_2017_nEN-early2_upreg,-0.6962685938163334,-0.7120690253781354,-1.0232390229037727,-0.2711248053422656,0.2405264145196306,-0.21847240444913138,-0.5552264629876023,-0.4994197257958415,0.47389724923463705,-0.3666141816048256,1.0365594039471508,0.8109022061557708,-0.16117751562269714,3.1596394863703687,0.23568482119749834
Nowakowski_Science_2017_EN-PFC2_upreg,-1.2423202186177666,-1.6539650273741227,-2.061816169944336,-0.463643931578969,0.5398238682656415,0.16210362958749716,-0.3699026420013636,-0.22896445403643878,0.23514327924368725,0.041438072212097915,0.7658168271962325,0.44157178840754274,-0.48545285922496323,1.5569000007811908,0.2889984232372599
Nowakowski_Science_2017_EN-V1-1_upreg,-1.0102192727578223,-0.8617498017797669,-1.6612505443883447,-0.4671193621943107,0.45506195480518363,0.004919983929059894,-0.5480664270426213,-0.6286814317366218,0.3523467182905761,-0.21903135912566546,1.5648515300096268,0.7408864533281055,-0.3851802941625542,2.267463493860648,0.2004249738242192
