pathway,pval,padj,log2err,ES,NES,size,leadingEdge,metabolic
HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.2080536912751678,0.23117076808351977,0.25720646646883816,-0.24595055017102824,-1.0970620319948785,179,Htra2;Timm9;Fxn;Timm50;Acat1;Cox10;Phb2;Prdx3;Ndufa5;Timm10;Ndufb8;Mtx2;Slc25a5;Atp5a1;Tomm70a;Bax;Atp5b;Polr2f;Ndufa4;Ndufs6;Lrpprc;Abcb7;Ndufab1;Vdac3;Ndufv2;Atp5g3;Cyc1;Atp5c1;Atp5o;Hspa9;Cycs;Idh3a;Cox7a2;Got2;Ndufa9;Mtrr;Cox7a2l;Ndufa8;Uqcr10;Fh1;Atp5l;Cox8a;Dlst;Cox7c;Cox7b;Uqcrb;Atp5d;Sdhb;Timm8b;Slc25a12;Cox11;Cox5a;Atp5j2;Ndufs3;Suclg1;Ndufb7;Atp5j;Casp7;Ndufb4;Ndufb3;Cox6a1;Atp5e;Immt;Uqcrfs1;Ndufc2;Timm17a;Timm13;Uqcrq;Mdh2;Uqcrc2;Pdhb;Cox6b1;Mdh1;Ndufa3;Cox5b;Slc25a3;Uqcr11;Atp6v0e;Tomm22;Ndufb5;Idh2;Pmpca;Grpel1;Ndufb2;Ndufb6;Ndufc1;Cox4i1;Sdhd;Atp6v1h;Idh3g;Aco2;Opa1;Ndufs2;Ndufa1,TRUE
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.1452991452991453,0.17297517297517298,0.24504178543099617,-0.27707879331816426,-1.1635937694602658,106,Nop56;Cks1b;Exosc2;Dkc1;Asns;Nolc1;Npm1;Mthfd2;Banf1;Psat1;Lsm4;Chac1;Nop14;Eif4a1;Tars;Nhp2;Eif4e;Aldh18a1;Eif2s1;Eif2ak3;Iars;Imp3;Nfyb;Sdad1;Slc7a5;Khsrp;Fus;Rrp9;Eif4a3;Preb;Hspa9;Mtrex;Exosc10;Exosc1;Zbtb17;Eif4g1;Cxxc1;Eef2;Xpot;Lsm1;Dcp1a,FALSE
HALLMARK_MTORC1_SIGNALING,0.03971592884976335,0.0509178574996966,0.3217759180753611,-0.2762252186404644,-1.2431613221074007,186,Plk1;Ccnf;Aurka;Ung;Rrm2;Bub1;Dhfr;Mcm2;Stc1;Mcm4;Sord;Tmem97;Asns;Hprt;Nup205;Psmg1;Mthfd2;Shmt2;Bcat1;Psat1;Ppa1;Tfrc;Tubg1;Cct6a;Hspd1;Coro1a;Psmd14;Stip1;Eef1e1;Slc6a6;Psmd13;Trib3;Ppia;Pdap1;Psmc6;Gmps;Cdc25a;Mllt11;Cacybp;Psme3;Hspe1;Abcf2;Polr3g;Slc7a5;Pno1;Nfyc;Gga2;Eif2s2;Rrp9;Rpa1;Txnrd1;Etf1;Arpc5l;Pitpnb;Cdkn1a;Hspa9,FALSE
HALLMARK_PANCREAS_BETA_CELLS,0.0337765520678286,0.04808403610001479,0.3217759180753611,-0.55558711921765,-1.5241957058351714,17,Insm1;Chga;Dcx;Pcsk2;Nkx2-2,FALSE
HALLMARK_SPERMATOGENESIS,2.583596501583623e-5,5.6165141338774406e-5,0.5756102610711286,-0.5218399184959901,-1.9959470661459056,69,Cdkn3;Nek2;Ccnb2;Kif2c;Ttk;Aurka;Bub1;Cdk1;Ncaph;Dbf4;Rfc4;Dcc;Mlf1;Snap91;Clgn;Psmg1;Gad1;Topbp1;Ezh2;Ddx25,FALSE
HALLMARK_DNA_REPAIR,4.476765247422013e-7,1.2435459020616702e-6,0.674962860011025,-0.4656572037827394,-1.9991428249666856,137,Dut;Pold1;Tyms;Rad51;Fen1;Lig1;Prim1;Pcna;Pola1;Rfc5;Rfc4;Umps;Nme4;Hprt;Pola2;Rev3l;Rfc3;Rpa2;Nme1;Polr1c;Nudt21;Ercc8;Pom121;Ssrp1;Ada;Gtf2a2;Impdh2;Rae1;Polr2j;Sf3a3;Snapc4;Aaas;Polh;Polr2d;Polr2c;Nt5c3;Polr2h;Nt5c;Arl6ip1;Srsf6;Polr2f;Gtf2f1;Pold3;Itpa;Polr1d;Trp53;Dgcr8;Polr2i;Bola2;Rfc2;Taf10;Sac3d1;Rpa3;Polr2e;Ncbp2;Tsg101;Ercc2;Alyref;Tarbp2;Clp1;Cstf3;Gtf2h5;Ercc1;Poll;Rbx1;Zwint;Rnmt;Upf3b;Ercc3;Polr3c;Supt5;Gtf3c5;Taf12;Nfx1,FALSE
HALLMARK_MITOTIC_SPINDLE,2.736941008773956e-13,1.9549578634099685e-12,0.932595211336209,-0.5180658570388992,-2.33706247690309,190,Pif1;Dlgap5;Nek2;Plk1;Ccnb2;Cenpf;Ndc80;Kif2c;Kif11;Kif4;Racgap1;Ttk;Kntc1;Kif23;Cenpe;Birc5;Ect2;Kif15;Kif20b;Aurka;Top2a;Bub1;Cdk1;Lmnb1;Prc1;Espl1;Tpx2;Nusap1;Kif22;Cenpj;Anln;Fbxo5;Incenp;Smc4;Brca2;Cep72;Nin;Alms1;Epb41;Cntrob;Bin1;Tiam1,FALSE
HALLMARK_MYC_TARGETS_V2,6.209101536616849e-14,5.174251280514041e-13,0.9545416307257243,-0.7409591634522673,-2.64970470477263,53,Plk1;Plk4;Ung;Mcm5;Dctpp1;Nop56;Mcm4;Utp20;Sord;Tmem97;Ppan;Gnl3;Nolc1;Srm;Pa2g4;Npm1;Mybbp1a;Tbrg4;Pprc1;Farsa;Cdk4;Tcof1;Rcl1;Aimp2;Grwd1;Slc29a2;Cbx3;Hspd1;Ipo4;Prmt3;Wdr43;Nop2;Phb;Nop16;Bysl;Ndufaf4;Ddx18;Hspe1;Rrp9;Nip7;Imp4;Mphosph10,FALSE
HALLMARK_MYC_TARGETS_V1,1.5633774620002458e-31,2.605629103333743e-30,1.4604515308413264,-0.6823513766301934,-3.05745960775683,181,Cdc20;Ccna2;Mcm5;Cdc45;Dut;Mad2l1;Tyms;Mcm7;Mcm2;Mcm6;Pcna;Usp1;Nop56;Mcm4;Rfc4;Tfdp1;Gnl3;Nolc1;Dek;Srm;Pold2;Srsf3;Cad;Fbl;Hprt;Erh;Ruvbl2;Rrm1;Smarcc1;Pa2g4;Hnrnpa1;Set;Trim28;Npm1;Srsf7;Ranbp1;Lsm7;Abce1;Cdk4;Ddx21;Cdk2;Nme1;Hnrnpa2b1;G3bp1;Snrpg;Hnrnpd;Cct4;Ncbp1;Snrpd1;Serbp1;Snrpa1;Srsf1;Aimp2;Pabpc4;Srsf2;Tra2b;Lsm2;C1qbp;Hddc2;Bub3;Tcp1;Xpo1;Cct3;Eif4a1;Rack1;Tufm;U2af1;Cnbp;Dhx15;Cct5;Ilf2;Cct7;Phb2;Nap1l1;Prdx3;Cbx3;Ran;Hspd1;Nhp2;Eif4e;Sf3b3;Uba2;Exosc7;Snrpd3;Cstf2;Psmd14;Impdh2;Clns1a;Ptges3;Eif2s1;Tardbp;Hnrnpr;Ppm1g;Hdac2;Hnrnpu;Kars;Kpnb1;Snrpa;Phb;Ppia;Hsp90ab1;Cct2;Iars;Nop16;Psmc6;Eif3b;Tomm70a;Pwp1;Rnps1;Acp1;Stard7;Ddx18;Ssb;Hspe1;Snrpd2;Pole3;Txnl4a;Syncrip;Prpf31;Eif2s2;Hdgf;Ndufab1;Rrp9;Hnrnpc;Vdac3;Etf1;Cyc1;Gspt1;Got2;Srpk1;Pabpc1;Prdx4;Ncbp2;Rad23b;Psmb2;Pcbp1;Ywhaq;Orc2;Apex1;Eif3d;Vbp1;Xpot;Psma7;Eif4h;Eef1b2;Psma6;Psmc4;Cox5a;Cul1;Snrpb2;Xrcc6,FALSE
HALLMARK_G2M_CHECKPOINT,9.060482659569685e-42,2.2651206648924214e-40,1.6843363428421345,-0.7223077607156408,-3.2614721048406734,187,Cdkn3;Hmmr;Nek2;Plk1;Ccnb2;Mki67;Ube2c;Cenpf;Ndc80;Kif2c;Cdc20;Kif11;Ccnf;Knl1;Kif4;Racgap1;Ttk;Ccna2;Kif23;Cenpe;Birc5;Cenpa;Plk4;Kif15;Kif20b;Cdc6;Bard1;Aurka;Rad54l;Mcm5;Cdc45;Top2a;Bub1;Pttg1;Exo1;Stil;Cdk1;Pbk;Lmnb1;Prc1;Espl1;Troap;Tpx2;Nusap1;Mybl2;Kif22;Pole;Mad2l1;Fbxo5;Hmgb3;E2f1;Ccnd1;Tacc3;Chaf1a;Nasp;Cks2;Smc2;Mcm2;Incenp;Polq;Mcm6;Smc4;Chek1;Brca2;Mcm3;Ube2s;Aurkb;Gins2;Slc7a1;Cdc7;Dbf4;Tfdp1;Slc38a1;Cks1b;Rbl1;E2f2;Stmn1;Tmpo;Dkc1;Nolc1;Orc6;Smarcc1;Jpt1;Pola2;Prim2;Sfpq;Cdc25b;Cdk4;Rpa2;Lbr;G3bp1;Hnrnpd;Ilf3;Nsd2;Snrpd1;Ezh2;Srsf1;Srsf2;Tra2b;Kmt5a;Bub3;Xpo1;Casp8ap2,FALSE
HALLMARK_E2F_TARGETS,5.73136589085522e-59,2.86568294542761e-57,2.0043308031324996,-0.7891653566136525,-3.550549883720941,194,Cdkn3;Dlgap5;Hmmr;Plk1;Ccnb2;Mki67;Kif2c;Cdc20;Kif4;E2f8;Racgap1;Mxd3;Cdca8;Spc24;Cdca3;Bub1b;Cenpe;Depdc1a;Birc5;Trip13;Plk4;Mms22l;Cenpm;Bard1;Aurka;Ung;Mcm5;Rrm2;Hells;Spag5;Top2a;Gins1;Pttg1;Kif18b;Cdk1;Lmnb1;Timeless;Ube2t;Espl1;Mybl2;Tk1;Brca1;Kif22;Pole;Spc25;Dut;Mad2l1;Shmt1;Pold1;Asf1b;Hmgb3;Rad51ap1;Tacc3;Ncapd2;Tcf19;Nasp;Cks2;Dctpp1;Mcm7;Mcm2;Atad2;Mcm6;Lig1;Dscc1;Smc4;Pcna;Chek1;Brca2;Mcm3;Rad51c;Ube2s;Usp1;Nop56;Aurkb;Mcm4;Pms2;Cks1b;Dck;Melk;Stmn1;Ccne1;Exosc8;Tipin;Tmpo;Cse1l;Nolc1;Dek;Ccp110;Pold2;Chek2;Orc6;Wdr90;Rnaseh2a;Nup205;Pa2g4;Jpt1;Pola2;Wee1;Nup107;Prim2;Tubb5;Dnmt1;Prps1;Mthfd2;Ranbp1;Rfc3;Cdc25b;Tbrg4;Snrpb;Cdk4;Rpa2;Nme1;Nudt21;Lbr;Msh2;Hnrnpd;Ilf3;Tfrc;Gins3;Anp32e;Tubg1;Smc6;Ezh2;Srsf1;Srsf2;Mre11a;Tra2b;Lyar;Xpo1;Naa38;Ak2;Slbp;Cit;Ssrp1;Nap1l1;Ran,FALSE
