source,target,weight,vertex_size
Neopl-ACR,Astrocyte R,1.783065850000748,650
Neopl-ACR,Neopl-Bulk,1.2857143374441624,13798
Neopl-ACR,Neopl-CC-I,1.1828189960711437,2692
Neopl-ACR,Neopl-CC-II,0.9011326061141931,3652
Neopl-ACR,Neopl-CC-III,0.8055028607602029,5647
Neopl-ACR,Neopl-OPC,1.0386612796139172,1599
Neopl-ACR,Neopl-COP,0.42872731360299715,766
Neopl-ACR,Neopl-NC,0.08162569883362045,90
Neopl-ACR,Neopl-ACR,1.549370687153112,443
Neopl-ACR,Neopl-ECM,1.368951902298917,2700
Neopl-ACR,Neopl-RNA-low,0.043561659585691255,2340
