pathway,pval,padj,log2err,ES,NES,size,leadingEdge,metabolic
HYPOXIA,1.455941640526147e-12,7.279708202630736e-12,0.9101197347744591,0.6328272531075394,2.298284629422533,160,Pgf;Bgn;S100a4;Angptl4;Hs3st1;Serpine1;Cp;Ccn2;Kdelr3;Lxn;Ndrg1;Ppp1r3c;Sdc4;Gcnt2;Gpc4;Atf3;Cavin1;Mt2;Ccn1;Cxcr4;Egfr;Ncan;Tgfbi;Aldoc;Anxa2;Tgm2;Zfp36;Mt1;Ier3;Lox;Dusp1;P4ha2;Cav1;Kif5a;Nedd4l;Hmox1;Chst2;Bhlhe40;Rora;Ppargc1a;Sdc2;Ackr3;Fos;Fosl2;Pfkfb3;Tnfaip3;Mxi1;Bcan;Col5a1;Ugp2;Ampd3;Tpbg;Btg1;Jun;Pam;Bcl2;Nr3c1;Ets1;Prkca;Cavin3;Ilvbl;Efna1;Klhl24;Klf6;Cdkn1c;Slc25a1;Tgfb3;Hexa;Gbe1;Igfbp3;Ndst1;Tpst2;Errfi1;Maff;F3;Vegfa;Ddit3;Pfkp;Slc2a1,FALSE
IL6_JAK_STAT3_SIGNALING,4.329381141941775e-9,1.665146593054529e-8,0.7614608014455848,0.7242321133471541,2.27453476414384,56,Cxcl1;Osmr;Cd38;Il1r1;Cd44;Il13ra1;Map3k8;Fas;Cxcl10;Acvrl1;Il17ra;Tlr2;Tgfb1;A2m;Il17rb;Il3ra;Il6st;Socs3;Hmox1;Cd14;Tnfrsf21;Csf1;Myd88;Itgb3;Il4ra;Jun;Cntfr;Ifngr1;Tyk2;Il10rb,FALSE
UV_RESPONSE_DN,2.1350384672157337e-9,8.895993613398892e-9,0.7749390301364363,0.5986533161517807,2.124199892851045,134,Col5a2;Gja1;Igfbp5;Erbb2;Col1a2;Snai2;Rgs4;Serpine1;Met;Lpar1;Id1;Col1a1;Tgfbr3;Fbln5;Has2;Anxa4;Ccn1;Smad7;Nrp1;Bdnf;Notch2;Anxa2;Plpp3;Mt1;Ltbp1;Dusp1;Ptprm;Runx1;Lamc1;Tgfbr2;Cav1;Bmpr1a;Rnd3;Atp2b4;Bhlhe40;Atxn1;Dbp;Sdc2;Fzd2;Dlc1;Itgb3;Mgll,FALSE
IL2_STAT5_SIGNALING,1.416558644212974e-8,5.059138015046336e-8,0.7477396631498854,0.5862707754338902,2.1022884180908816,142,Col6a1;Lrig1;Dhrs3;Ahnak;Itga6;Ecm1;Ahr;Fgl2;Myo1e;Lif;Ndrg1;Gadd45b;Rgs16;Cd44;Plec;Map3k8;Glipr2;Car2;Plpp1;Anxa4;Cxcl10;Nrp1;Prnp;Itih5;Tgm2;Capg;Ifitm3;Pth1r;Lrrc8c;Il3ra;Plscr1;Hopx;Bmpr2;Smpdl3a;Slc39a8;Batf3;Bhlhe40;Ctsz;P2rx4;Rora;Tnfrsf21;Csf1;Spp1;Wls;Furin;Il4ra;Plagl1;Ikzf2;Etfbkmt;Bcl2;Nfkbiz;Serpinb6a;Enpp1;Mxd1;Ifngr1;Klf6,FALSE
COMPLEMENT,2.2297757479125566e-7,7.432585826375189e-7,0.6901324587967956,0.5785253071472561,2.0417362336292935,129,C1s1;Cxcl1;Serping1;Fn1;Pla2g7;Serpine1;Cp;Clu;Lgals3;Ctsh;Anxa5;Apoc1;Car2;Rasgrp1;Cda;Cebpb;Mt3;Casp4;Prkcd;Ctsb;Ctsl;Plat;Pdp1;Ctsc;Mmp14;Ctso;Col4a2;Timp1;Scg3;Pla2g4a;Plscr1;Lamp2;Gpd2;Lgmn;Ctsd;Csrp1;Timp2;Tnfaip3;Lck;Gca;Casp1;S100a13;Dusp5;Gnai2;C1qc;Kcnip2;Rhog;Me1;Irf7;Cpq;Fcer1g;C1qa;Maff;F3;Irf1;Lipa;Ctss,FALSE
INTERFERON_GAMMA_RESPONSE,3.2797859436854587e-7,9.646429246133703e-7,0.674962860011025,0.5654980812010774,2.021206686679565,140,C1s1;Serping1;Cd38;Ccl2;Fgl2;Ptgs2;Vamp5;Vcam1;Fas;Cxcl10;Mt2;Vamp8;Casp4;Nod1;Mvp;Ifitm2;Nfkbia;Lgals3bp;Ifitm3;Tapbp;Gbp9;Socs3;Sspn;Znfx1;Pla2g4a;Plscr1;H2-Aa;Tnfaip2;Il18bp;Icam1;Bst2;Lats2;Myd88;H2-Eb1;Tnfaip3;Xaf1;Ifit3;Cd74;Btg1;Il4ra;Arid5b;Zbp1;H2-DMa;Helz2;Ripk2;Casp1;Irf7;Parp14;Ddx60;Stat2;Lysmd2;Stat3;Isg15;Pfkp;Casp8;Irf1;Rnf31;Ube2l6;Ptpn2;Txnip;Nfkb1;Ifi35,FALSE
DNA_REPAIR,4.476765247422013e-7,1.2435459020616702e-6,0.674962860011025,-0.4656572037827394,-1.9991428249666856,137,Dut;Pold1;Tyms;Rad51;Fen1;Lig1;Prim1;Pcna;Pola1;Rfc5;Rfc4;Umps;Nme4;Hprt;Pola2;Rev3l;Rfc3;Rpa2;Nme1;Polr1c;Nudt21;Ercc8;Pom121;Ssrp1;Ada;Gtf2a2;Impdh2;Rae1;Polr2j;Sf3a3;Snapc4;Aaas;Polh;Polr2d;Polr2c;Nt5c3;Polr2h;Nt5c;Arl6ip1;Srsf6;Polr2f;Gtf2f1;Pold3;Itpa;Polr1d;Trp53;Dgcr8;Polr2i;Bola2;Rfc2;Taf10;Sac3d1;Rpa3;Polr2e;Ncbp2;Tsg101;Ercc2;Alyref;Tarbp2;Clp1;Cstf3;Gtf2h5;Ercc1;Poll;Rbx1;Zwint;Rnmt;Upf3b;Ercc3;Polr3c;Supt5;Gtf3c5;Taf12;Nfx1,FALSE
SPERMATOGENESIS,2.583596501583623e-5,5.6165141338774406e-5,0.5756102610711286,-0.5218399184959901,-1.9959470661459056,69,Cdkn3;Nek2;Ccnb2;Kif2c;Ttk;Aurka;Bub1;Cdk1;Ncaph;Dbf4;Rfc4;Dcc;Mlf1;Snap91;Clgn;Psmg1;Gad1;Topbp1;Ezh2;Ddx25,FALSE
TGF_BETA_SIGNALING,1.2139235770090657e-4,2.1677206732304745e-4,0.5384340963099162,0.6463765298812417,1.9924128796661995,48,Id3;Bcar3;Serpine1;Nog;Wwtr1;Id1;Smad7;Tgfb1;Thbs1;Id2;Junb;Bmpr1a;Bmpr2;Tgif1;Furin;Ski;Sptbn1;Acvr1;Cdkn1c;Pmepa1,FALSE
CHOLESTEROL_HOMEOSTASIS,2.791405669439704e-5,5.815428477999384e-5,0.5756102610711286,0.6144060217961319,1.9892561050490987,67,Sema3b;Clu;Lgals3;Gpx8;S100a11;Anxa5;Cbs;Atf3;Aldoc;Scd1;Fabp5;Plscr1;Ech1;Fads2;Scd2;Lpl;Lgmn;Fbxo6;Antxr2;Tm7sf2;Acss2;Ldlr;Cd9;Sc5d;Nsdhl;Errfi1;Jag1;Hmgcs1;Cpeb2;Pnrc1;Lss;Abca2;Hsd17b7;Stard4,TRUE
