pathway_name,source,target,condition,strength,n
IL1,Macrophage,Astrocyte R,Primary,0.021813148310726643,2
IL1,Macrophage,Astrocyte R,Recurrent,0.02290875004391639,2
IL1,Macrophage,NKTB,Primary,0.004417435973297569,1
IL1,Macrophage,Mural,Primary,0.048724499725656234,2
IL1,Dendritic,Astrocyte R,Primary,0.015241327249165711,2
IL1,Dendritic,Astrocyte R,Recurrent,0.017158601611333087,1
IL1,Dendritic,Mural,Primary,0.0340962605019116,2
IL1,Neutrophil,Astrocyte R,Primary,0.022129585836386533,2
IL1,Neutrophil,Astrocyte R,Recurrent,0.019759553117418276,2
IL1,Neutrophil,Mural,Primary,0.04836739962216344,2
IL1,Neoplastic,NKTB,Primary,0.015550663157191783,1
IL1,Neoplastic,NKTB,Recurrent,0.006397146323490226,1
