interaction_label,source,target,ligand.complex,receptor.complex,sample_type,aggregate_rank,neg_log10_rank,n_cells_source,n_cells_target
Astrocyte R__Neoplastic__Lrrc4b_Ptprs,Astrocyte R,Neoplastic,Lrrc4b,Ptprs,Primary,0.34492459398904274,0.4622758382422702,340,16799
Astrocyte R__Neoplastic__Lgi4_Adam22,Astrocyte R,Neoplastic,Lgi4,Adam22,Recurrent,0.0981336525195116,1.008182036480453,310,16928
Astrocyte R__Neoplastic__Lgi4_Adam22,Astrocyte R,Neoplastic,Lgi4,Adam22,Primary,0.021348179944700132,1.6706391451667004,340,16799
Astrocyte R__Neoplastic__Col16a1_Itga1_Itgb1,Astrocyte R,Neoplastic,Col16a1,Itga1_Itgb1,Recurrent,0.023037586447388587,1.637563022101534,310,16928
Astrocyte R__Neoplastic__Col16a1_Itga1_Itgb1,Astrocyte R,Neoplastic,Col16a1,Itga1_Itgb1,Primary,0.20868094246720276,0.6805172105380217,340,16799
Astrocyte R__Neoplastic__Pdgfc_Pdgfra,Astrocyte R,Neoplastic,Pdgfc,Pdgfra,Recurrent,0.07549899693653125,1.1220588182757558,310,16928
Astrocyte R__Neoplastic__Pdgfc_Pdgfra,Astrocyte R,Neoplastic,Pdgfc,Pdgfra,Primary,0.02795411367600896,1.5535542730966239,340,16799
Astrocyte R__Neoplastic__Bmp6_Bmpr1a_Bmpr2,Astrocyte R,Neoplastic,Bmp6,Bmpr1a_Bmpr2,Recurrent,0.09284921514181627,1.0322217630175656,310,16928
Astrocyte R__Neoplastic__Bmp6_Bmpr1a_Bmpr2,Astrocyte R,Neoplastic,Bmp6,Bmpr1a_Bmpr2,Primary,0.02890160383376276,1.5390780563152067,340,16799
Astrocyte R__Neoplastic__Ncam1_Robo1,Astrocyte R,Neoplastic,Ncam1,Robo1,Recurrent,0.03244138769062052,1.488900576979708,310,16928
Astrocyte R__Neoplastic__Ncam1_Robo1,Astrocyte R,Neoplastic,Ncam1,Robo1,Primary,0.12558900243068155,0.9010483892037869,340,16799
Astrocyte R__Neoplastic__Hbegf_Cd44,Astrocyte R,Neoplastic,Hbegf,Cd44,Recurrent,0.04209306110039328,1.375789490249387,310,16928
Astrocyte R__Neoplastic__Hbegf_Cd44,Astrocyte R,Neoplastic,Hbegf,Cd44,Primary,0.170202118417755,0.7690350387789523,340,16799
Astrocyte R__Neoplastic__App_Tspan12,Astrocyte R,Neoplastic,App,Tspan12,Recurrent,0.044992412755587935,1.3468607168068336,310,16928
Astrocyte R__Neoplastic__App_Tspan12,Astrocyte R,Neoplastic,App,Tspan12,Primary,0.21870005806985288,0.6601511016472585,340,16799
Astrocyte R__Neoplastic__Serpine2_Lrp1,Astrocyte R,Neoplastic,Serpine2,Lrp1,Recurrent,0.04545352706920563,1.342432411072145,310,16928
Astrocyte R__Neoplastic__Serpine2_Lrp1,Astrocyte R,Neoplastic,Serpine2,Lrp1,Primary,0.2540947725361363,0.5950042695504298,340,16799
