tscore,rank,length,color
-17.67215856507841,KRAS_SIGNALING_DN,-17.67215856507841,-17.67215856507841
-10.973217092869788,HEDGEHOG_SIGNALING,-10.973217092869788,-10.973217092869788
28.381336784155824,HYPOXIA,28.381336784155824,28.381336784155824
29.272538475092077,IL2_STAT5_SIGNALING,29.272538475092077,29.272538475092077
29.894424489292728,TGF_BETA_SIGNALING,29.894424489292728,29.894424489292728
30.829517472276915,EPITHELIAL_MESENCHYMAL_TRANSITION,30.829517472276915,30.829517472276915
31.4223469738497,COAGULATION,31.4223469738497,31.4223469738497
31.70231821916697,COMPLEMENT,31.70231821916697,31.70231821916697
35.58432449702524,MYOGENESIS,35.58432449702524,35.58432449702524
36.47632594217494,IL6_JAK_STAT3_SIGNALING,36.47632594217494,36.47632594217494
36.55099800794736,UV_RESPONSE_UP,36.55099800794736,36.55099800794736
41.18009008177595,APOPTOSIS,41.18009008177595,41.18009008177595
