p,logFC,rank,length,color,significant,label,point_color,tier
0.5982288700572098,-0.009451604338769709,Xkr4,-0.009451604338769709,0.5982288700572098,FALSE,NA,grey20,ns
0.4975404331915846,-0.0029368596733097135,Rp1,-0.0029368596733097135,0.4975404331915846,FALSE,NA,grey20,ns
0.27038306466600703,0.004553823319197948,Sox17,0.004553823319197948,0.27038306466600703,FALSE,NA,grey20,ns
0.5834398649516246,-0.07262726714018043,Lypla1,-0.07262726714018043,0.5834398649516246,FALSE,NA,grey20,ns
0.2946373668225482,-0.05719343018984581,Tcea1,-0.05719343018984581,0.2946373668225482,FALSE,NA,grey20,ns
0.026231395670667835,0.0048365474638466435,Rgs20,0.0048365474638466435,0.026231395670667835,FALSE,NA,grey20,ns
0.2444485613469824,0.042191732309153344,Atp6v1h,0.042191732309153344,0.2444485613469824,FALSE,NA,grey20,ns
1.341308401681296,-0.15062654288477853,Rb1cc1,-0.15062654288477853,1.341308401681296,FALSE,NA,grey20,ns
0.49744595518539625,0.0037287736400088657,St18,0.0037287736400088657,0.49744595518539625,FALSE,NA,grey20,ns
0.15201310943760152,-0.028773039677271794,Pcmtd1,-0.028773039677271794,0.15201310943760152,FALSE,NA,grey20,ns
0.2204771027879783,-0.004620298300315748,Sntg1,-0.004620298300315748,0.2204771027879783,FALSE,NA,grey20,ns
0.3494287351022641,0.05326342999685686,Rrs1,0.05326342999685686,0.3494287351022641,FALSE,NA,grey20,ns
0.05105624032052492,-0.01263473829175392,Adhfe1,-0.01263473829175392,0.05105624032052492,FALSE,NA,grey20,ns
0.17272563859344414,0.037612826127647006,Vxn,0.037612826127647006,0.17272563859344414,FALSE,NA,grey20,ns
0.23188786309212586,0.024202559813083887,Mybl1,0.024202559813083887,0.23188786309212586,FALSE,NA,grey20,ns
0.056516923602423226,-0.008646969500690976,Vcpip1,-0.008646969500690976,0.056516923602423226,FALSE,NA,grey20,ns
0.2597472283930448,0.028537625494041555,Sgk3,0.028537625494041555,0.2597472283930448,FALSE,NA,grey20,ns
0.29496605448745083,-0.005890913148983158,Tcf24,-0.005890913148983158,0.29496605448745083,FALSE,NA,grey20,ns
0.7441379365784913,0.028858238869963863,Ppp1r42,0.028858238869963863,0.7441379365784913,FALSE,NA,grey20,ns
0.1454063219182947,-0.02551266811227868,Cops5,-0.02551266811227868,0.1454063219182947,FALSE,NA,grey20,ns
0.25056145771939153,0.034448375108110364,Cspp1,0.034448375108110364,0.25056145771939153,FALSE,NA,grey20,ns
0.03764001304353771,0.007080647888357027,Arfgef1,0.007080647888357027,0.03764001304353771,FALSE,NA,grey20,ns
0.3117133952089014,0.05705480903796706,Prex2,0.05705480903796706,0.3117133952089014,FALSE,NA,grey20,ns
0.7620598093128088,0.11144977893490349,Sulf1,0.11144977893490349,0.7620598093128088,FALSE,NA,grey20,ns
0.4527143895523809,-0.0055642148556906135,Slco5a1,-0.0055642148556906135,0.4527143895523809,FALSE,NA,grey20,ns
1.0611282314589665,-0.1269048342113218,Ncoa2,-0.1269048342113218,1.0611282314589665,FALSE,NA,grey20,ns
0.09498722860330965,0.016961457522112755,Tram1,0.016961457522112755,0.09498722860330965,FALSE,NA,grey20,ns
0.3977358177732624,-0.056067203864046865,Lactb2,-0.056067203864046865,0.3977358177732624,FALSE,NA,grey20,ns
0.49754043319158014,-0.008054296992293486,Xkr9,-0.008054296992293486,0.49754043319158014,FALSE,NA,grey20,ns
0.08514995358283199,0.01364027545355239,Eya1,0.01364027545355239,0.08514995358283199,FALSE,NA,grey20,ns
0.4975404331915831,-0.0029368596733097135,Msc,-0.0029368596733097135,0.4975404331915831,FALSE,NA,grey20,ns
0.8622249254912667,0.016622082108694026,Kcnb2,0.016622082108694026,0.8622249254912667,FALSE,NA,grey20,ns
0.21078817156382343,0.031118608805618352,Terf1,0.031118608805618352,0.21078817156382343,FALSE,NA,grey20,ns
1.3549957108919581,0.15768856758027522,Rdh10,0.15768856758027522,1.3549957108919581,FALSE,NA,grey20,ns
1.487671958126173,-0.13005080006846778,Stau2,-0.13005080006846778,1.487671958126173,FALSE,NA,grey20,ns
0.45906167005556686,-0.06846001014586611,Ube2w,-0.06846001014586611,0.45906167005556686,FALSE,NA,grey20,ns
0.4998496473082685,0.06515931799425945,Eloc,0.06515931799425945,0.4998496473082685,FALSE,NA,grey20,ns
0.10030684658875876,0.015533932716894702,Tmem70,0.015533932716894702,0.10030684658875876,FALSE,NA,grey20,ns
0.9927323767088075,0.05911555607133404,Ly96,0.05911555607133404,0.9927323767088075,FALSE,NA,grey20,ns
0.3972159346884231,0.020795806937411888,Jph1,0.020795806937411888,0.3972159346884231,FALSE,NA,grey20,ns
0.2489446926247984,-0.012809782755060835,Gdap1,-0.012809782755060835,0.2489446926247984,FALSE,NA,grey20,ns
0.005530725741624241,-0.0010434370357172654,Mcm3,-0.0010434370357172654,0.005530725741624241,FALSE,NA,grey20,ns
0.7268706180021187,-0.10619255063530893,Paqr8,-0.10619255063530893,0.7268706180021187,FALSE,NA,grey20,ns
0.3287647491587908,-0.02062137652268047,Efhc1,-0.02062137652268047,0.3287647491587908,FALSE,NA,grey20,ns
0.4141045270435756,0.03812345191533432,Tram2,0.03812345191533432,0.4141045270435756,FALSE,NA,grey20,ns
0.03567866470137525,-0.00639806373132083,Tmem14a,-0.00639806373132083,0.03567866470137525,FALSE,NA,grey20,ns
0.47896882180443406,-0.006051762912051526,Gsta3,-0.006051762912051526,0.47896882180443406,FALSE,NA,grey20,ns
0.25988857834133633,-0.010895568261989966,Kcnq5,-0.010895568261989966,0.25988857834133633,FALSE,NA,grey20,ns
0.030825894926261886,-0.004516965419299125,Rims1,-0.004516965419299125,0.030825894926261886,FALSE,NA,grey20,ns
0.08035375068142178,-0.008810371627775569,Ogfrl1,-0.008810371627775569,0.08035375068142178,FALSE,NA,grey20,ns
1.3390157299006002,-0.13303643067202836,Smap1,-0.13303643067202836,1.3390157299006002,FALSE,NA,grey20,ns
0.29417906298297636,0.0373743748772917,Sdhaf4,0.0373743748772917,0.29417906298297636,FALSE,NA,grey20,ns
0.8907264666171918,-0.08909204226638665,Fam135a,-0.08909204226638665,0.8907264666171918,FALSE,NA,grey20,ns
1.251342914240824,-0.0344329817337005,Col9a1,-0.0344329817337005,1.251342914240824,FALSE,NA,grey20,ns
0.7365521613691253,0.035314659798549225,Col19a1,0.035314659798549225,0.7365521613691253,FALSE,NA,grey20,ns
0.340761121291603,0.04978465465974645,Lmbrd1,0.04978465465974645,0.340761121291603,FALSE,NA,grey20,ns
0.09722848791581157,0.016705487544945094,Adgrb3,0.016705487544945094,0.09722848791581157,FALSE,NA,grey20,ns
0.5706806206636486,-0.05966424304654271,Phf3,-0.05966424304654271,0.5706806206636486,FALSE,NA,grey20,ns
0.10671342803032716,0.004181108373388044,Khdrbs2,0.004181108373388044,0.10671342803032716,FALSE,NA,grey20,ns
0.20221078362615855,0.02836938880369413,Prim2,0.02836938880369413,0.20221078362615855,FALSE,NA,grey20,ns
2.1165506799189604,0.2139873192833522,Rab23,0.2139873192833522,2.1165506799189604,FALSE,NA,grey50,ns
0.3838525714052649,-0.022742198856114768,Bag2,-0.022742198856114768,0.3838525714052649,FALSE,NA,grey20,ns
0.9069598415923924,-0.09654132061281895,Zfp451,-0.09654132061281895,0.9069598415923924,FALSE,NA,grey20,ns
0.6493663013019625,0.036023832799929704,Bend6,0.036023832799929704,0.6493663013019625,FALSE,NA,grey20,ns
0.27969645797735276,-0.04599878823619187,Dst,-0.04599878823619187,0.27969645797735276,FALSE,NA,grey20,ns
0.07957126128915616,0.009515661413840821,Ccdc115,0.009515661413840821,0.07957126128915616,FALSE,NA,grey20,ns
1.9071409651658124,-0.19740895813825862,Imp4,-0.19740895813825862,1.9071409651658124,FALSE,NA,grey20,ns
0.1523023278965034,-0.008860192229389517,Ptpn18,-0.008860192229389517,0.1523023278965034,FALSE,NA,grey20,ns
0.4975404331915825,-0.003443316144437634,Prss40,-0.003443316144437634,0.4975404331915825,FALSE,NA,grey20,ns
0.5242030056607756,-0.08654097446449897,Arhgef4,-0.08654097446449897,0.5242030056607756,FALSE,NA,grey20,ns
0.49754043319158786,-0.0029368596733097135,Arhgef4-1,-0.0029368596733097135,0.49754043319158786,FALSE,NA,grey20,ns
2.089292938936004,-0.20699028098602262,Fam168b,-0.20699028098602262,2.089292938936004,FALSE,NA,grey50,ns
0.22918585295803656,-0.05108979469204476,Plekhb2,-0.05108979469204476,0.22918585295803656,FALSE,NA,grey20,ns
0.058353411795498016,-0.011262299799915563,Hs6st1,-0.011262299799915563,0.058353411795498016,FALSE,NA,grey20,ns
0.012265232321080875,0.0023123551983356724,Uggt1,0.0023123551983356724,0.012265232321080875,FALSE,NA,grey20,ns
0.49744595518539547,0.0034251066152882134,Neurl3,0.0034251066152882134,0.49744595518539547,FALSE,NA,grey20,ns
