p,logFC,rank,length,color,significant,label,point_color,tier
1.788851039710414,0.01010225235280734,Xkr4,0.01010225235280734,1.788851039710414,FALSE,NA,grey20,ns
0.49800575068463,0.0015372793188863979,Rp1,0.0015372793188863979,0.49800575068463,FALSE,NA,grey20,ns
1.0480899979696745,0.006162069756378879,Sox17,0.006162069756378879,1.0480899979696745,FALSE,NA,grey20,ns
0.6535855056110861,-0.14282885355661193,Lypla1,-0.14282885355661193,0.6535855056110861,FALSE,NA,grey20,ns
0.5772316905103456,-0.11704800094648321,Tcea1,-0.11704800094648321,0.5772316905103456,FALSE,NA,grey20,ns
0.6198671007633807,-0.12951278373631664,Rgs20,-0.12951278373631664,0.6198671007633807,FALSE,NA,grey20,ns
0.8421775357813975,0.13961155072144735,Atp6v1h,0.13961155072144735,0.8421775357813975,FALSE,NA,grey20,ns
0.4932278673679483,-0.03903985877126937,Oprk1,-0.03903985877126937,0.4932278673679483,FALSE,NA,grey20,ns
0.1704277576565703,-0.03839949083938649,Rb1cc1,-0.03839949083938649,0.1704277576565703,FALSE,NA,grey20,ns
0.4980057506846303,0.0017800725629564841,St18,0.0017800725629564841,0.4980057506846303,FALSE,NA,grey20,ns
1.121991108882035,-0.21660943756214598,Pcmtd1,-0.21660943756214598,1.121991108882035,FALSE,NA,grey20,ns
1.4939421519470768,0.009699906175353637,Sntg1,0.009699906175353637,1.4939421519470768,FALSE,NA,grey20,ns
1.2033714408806422,0.1561496591637731,Rrs1,0.1561496591637731,1.2033714408806422,FALSE,NA,grey20,ns
3.595177627867054,-0.44689150364764857,Adhfe1,-0.44689150364764857,3.595177627867054,FALSE,NA,grey50,ns
7.539523918800801,0.3623632170238655,Vxn,0.3623632170238655,7.539523918800801,FALSE,NA,grey50,ns
0.6634441563574905,0.052115519187605486,Mybl1,0.052115519187605486,0.6634441563574905,FALSE,NA,grey20,ns
0.1590197398001339,0.03154771058803244,Vcpip1,0.03154771058803244,0.1590197398001339,FALSE,NA,grey20,ns
0.029342135320056525,0.004592792479696662,Sgk3,0.004592792479696662,0.029342135320056525,FALSE,NA,grey20,ns
0.5369801324090616,-0.07007777228412666,Tcf24,-0.07007777228412666,0.5369801324090616,FALSE,NA,grey20,ns
0.019962898182326827,0.0010555833083763437,Ppp1r42,0.0010555833083763437,0.019962898182326827,FALSE,NA,grey20,ns
0.5535449240794066,0.08954673233544945,Cops5,0.08954673233544945,0.5535449240794066,FALSE,NA,grey20,ns
0.658850620050997,-0.11649691759595714,Cspp1,-0.11649691759595714,0.658850620050997,FALSE,NA,grey20,ns
0.747469073022494,-0.15775549064050037,Arfgef1,-0.15775549064050037,0.747469073022494,FALSE,NA,grey20,ns
1.6125631849040172,-0.26408568896132634,Prex2,-0.26408568896132634,1.6125631849040172,FALSE,NA,grey20,ns
0.06158520616344015,-0.02281337655966645,Sulf1,-0.02281337655966645,0.06158520616344015,FALSE,NA,grey20,ns
1.342785309617553,0.006134988567515929,Slco5a1,0.006134988567515929,1.342785309617553,FALSE,NA,grey20,ns
0.5328355459242468,-0.10429810971181688,Ncoa2,-0.10429810971181688,0.5328355459242468,FALSE,NA,grey20,ns
1.00141795709258,-0.20305931291327173,Tram1,-0.20305931291327173,1.00141795709258,FALSE,NA,grey20,ns
0.0074463549334615724,0.0016011834049704779,Lactb2,0.0016011834049704779,0.0074463549334615724,FALSE,NA,grey20,ns
0.49800575068462555,0.004221107552867051,Xkr9,0.004221107552867051,0.49800575068462555,FALSE,NA,grey20,ns
0.39588536229210497,0.06797548973240794,Eya1,0.06797548973240794,0.39588536229210497,FALSE,NA,grey20,ns
0.49800575068462544,0.0015372793188863979,Msc,0.0015372793188863979,0.49800575068462544,FALSE,NA,grey20,ns
0.8626385565549002,0.00796192609515859,Kcnb2,0.00796192609515859,0.8626385565549002,FALSE,NA,grey20,ns
0.1324688879387839,-0.022417250585659965,Terf1,-0.022417250585659965,0.1324688879387839,FALSE,NA,grey20,ns
0.5259468984697446,-0.09035520751876777,Rdh10,-0.09035520751876777,0.5259468984697446,FALSE,NA,grey20,ns
0.9464551814898026,-0.19465031592996018,Stau2,-0.19465031592996018,0.9464551814898026,FALSE,NA,grey20,ns
0.27497386454767847,-0.05021083489267725,Ube2w,-0.05021083489267725,0.27497386454767847,FALSE,NA,grey20,ns
0.19645416026983412,-0.04634178872019404,Eloc,-0.04634178872019404,0.19645416026983412,FALSE,NA,grey20,ns
0.31908598034640184,-0.06100231952351056,Tmem70,-0.06100231952351056,0.31908598034640184,FALSE,NA,grey20,ns
0.14827079067655516,-0.017733523567237976,Ly96,-0.017733523567237976,0.14827079067655516,FALSE,NA,grey20,ns
0.6550010382592402,-0.10529318518494264,Jph1,-0.10529318518494264,0.6550010382592402,FALSE,NA,grey20,ns
0.26883985783411735,-0.019344912800106476,Gdap1,-0.019344912800106476,0.26883985783411735,FALSE,NA,grey20,ns
0.6741320302841248,-0.06375880569419079,Pi15,-0.06375880569419079,0.6741320302841248,FALSE,NA,grey20,ns
0.4932278673679483,-0.11031306827783459,Crispld1,-0.11031306827783459,0.4932278673679483,FALSE,NA,grey20,ns
3.359305901679801,0.16771778512209098,Mcm3,0.16771778512209098,3.359305901679801,FALSE,NA,grey50,ns
2.6962356276299766,0.31169784211252993,Paqr8,0.31169784211252993,2.6962356276299766,FALSE,NA,grey50,ns
0.17825447006895734,0.01228980956092836,Efhc1,0.01228980956092836,0.17825447006895734,FALSE,NA,grey20,ns
6.184558176662553,0.15652736660379626,Tram2,0.15652736660379626,6.184558176662553,FALSE,NA,grey50,ns
0.14216168405816493,-0.03167599173349754,Tmem14a,-0.03167599173349754,0.14216168405816493,FALSE,NA,grey20,ns
0.5929903924488272,-0.0505890304134219,Gsta3,-0.0505890304134219,0.5929903924488272,FALSE,NA,grey20,ns
0.15091586939919607,0.00889584457391473,Kcnq5,0.00889584457391473,0.15091586939919607,FALSE,NA,grey20,ns
0.02484223076236164,0.005635330419756751,Rims1,0.005635330419756751,0.02484223076236164,FALSE,NA,grey20,ns
1.239877076492873,-0.13618435437129972,Ogfrl1,-0.13618435437129972,1.239877076492873,FALSE,NA,grey20,ns
0.013961084425454155,0.003765353653308699,Smap1,0.003765353653308699,0.013961084425454155,FALSE,NA,grey20,ns
0.7486293108514704,-0.14546706359883052,Sdhaf4,-0.14546706359883052,0.7486293108514704,FALSE,NA,grey20,ns
0.4996005217896045,-0.10858103065878316,Fam135a,-0.10858103065878316,0.4996005217896045,FALSE,NA,grey20,ns
1.7374895054240773,-0.1769218038788445,Col9a1,-0.1769218038788445,1.7374895054240773,FALSE,NA,grey20,ns
6.29485543368824,0.0686021553316075,Col19a1,0.0686021553316075,6.29485543368824,FALSE,NA,grey50,ns
6.960309514807159,-0.5559414910795303,Lmbrd1,-0.5559414910795303,6.960309514807159,TRUE,NA,red3,modest
1.4539095281830772,-0.22639201800518619,Adgrb3,-0.22639201800518619,1.4539095281830772,FALSE,NA,grey20,ns
0.3285576225896831,-0.0792831072535411,Phf3,-0.0792831072535411,0.3285576225896831,FALSE,NA,grey20,ns
0.14128055143308127,-0.011356084755886306,Khdrbs2,-0.011356084755886306,0.14128055143308127,FALSE,NA,grey20,ns
1.2376782659962628,0.08320835091295142,Prim2,0.08320835091295142,1.2376782659962628,FALSE,NA,grey20,ns
0.8236369730631488,0.1407442087177389,Rab23,0.1407442087177389,0.8236369730631488,FALSE,NA,grey20,ns
0.41466455634860905,-0.05545973665079671,Bag2,-0.05545973665079671,0.41466455634860905,FALSE,NA,grey20,ns
1.0467508541309827,0.14468460241628495,Zfp451,0.14468460241628495,1.0467508541309827,FALSE,NA,grey20,ns
