rank,ES
0,0
75,-0.004352367688022284
76,0.012583728154020677
78,0.012467665015673417
79,0.02930381509503254
101,0.028027120573212674
102,0.043596395223483214
245,0.035297880831654055
246,0.04646019957856304
266,0.04529956819509042
267,0.05624865129905439
274,0.05584243031483898
275,0.06656402576618159
372,0.060934963556339435
373,0.07030935034158355
392,0.06920675052728457
393,0.07845297878810129
443,0.07555140032941976
444,0.08439515718872276
459,0.08352468365111829
460,0.09218687039245063
464,0.0919547441157561
465,0.10054630210807125
479,0.09973386013964042
480,0.1082636419613705
493,0.10750923156211331
494,0.11594054821657282
533,0.11367731701880125
534,0.12183898377856883
536,0.12172292064022158
537,0.12984712767925494
566,0.12816421217321963
567,0.13612074969055674
578,0.13548240242964682
579,0.14340103176501934
584,0.1431108739191512
585,0.15101675600175432
599,0.15020431403332352
600,0.15802909449095737
617,0.15704255781500562
618,0.16476681470807053
656,0.1625616150794726
657,0.1700808883941875
673,0.16915238328740945
674,0.17658264856239803
716,0.17414532265710553
717,0.1813633788454984
726,0.18084109472293575
727,0.1879999326152351
733,0.1876517432001933
734,0.19477359787855497
739,0.19448344003268683
740,0.20156669758036072
753,0.2008122871811035
754,0.20782653485910452
774,0.20666590347563196
775,0.21360751540847905
861,0.20861680045954684
862,0.21523827579061322
867,0.21494811794474508
868,0.22154166482962492
873,0.2212515069837568
874,0.22782102352418837
896,0.22654432900236848
897,0.23303764814062583
946,0.23019410125111797
947,0.2365363531739753
947,0.23653635317397528
948,0.2428711041836739
949,0.24281307261450027
950,0.24914284340829698
983,0.24722780162556715
984,0.25346522273609723
1075,0.24818434994129684
1076,0.2541093862447025
1136,0.2506274920942847
1137,0.2563930870288312
1156,0.2552904872145322
1157,0.26100012024344305
1163,0.26065193082840127
1164,0.2663454330329348
1173,0.2658231489103722
1174,0.2714943691436075
1213,0.26923113794583586
1214,0.2748025668191227
1226,0.27410618798903913
1227,0.2796557523849921
1244,0.27866921570904035
1245,0.28417554869617323
1261,0.28324704358939506
1262,0.28872657083162
1295,0.28681152904889023
1296,0.2922097812585511
1324,0.29058489732168946
1325,0.2959212400684293
1367,0.2934839141631368
1368,0.2987381462174167
1378,0.2981578305256804
1379,0.30339170642620394
1457,0.29886524403066067
1458,0.30395118699582224
1486,0.3023263030589607
1487,0.30736894872133813
1498,0.30673060146042824
1499,0.3117585193230273
1561,0.3081605620342622
1562,0.31304497178200896
1601,0.3107817405842373
1602,0.31559052566935264
1651,0.3127469787798448
1652,0.3174784839446625
1673,0.31625982099201627
1674,0.32094942780842917
1718,0.3183960387647895
1719,0.3230067685017259
1748,0.3213238529956906
1749,0.3258895004173999
1775,0.3243806796188855
1776,0.32890154564480323
1927,0.32013877869958507
1928,0.32443419471738205
2017,0.3192693850609289
2018,0.3234432208561571
2113,0.31793022178466224
2114,0.32196813712707395
