group.var,color.var,y,group_sum,y_scaled,color_var_sum,y_scaled_within_color,scaled_color_sum,y_scaled_all
Healthy,Astrocyte TE,2714,4310,0.6296983758700696,2832,0.9583333333333334,2.0262450952715954,0.472960223602604
Healthy,Astrocyte NT,1533,4310,0.3556844547563805,1565,0.97955271565495206,2.0262450952715954,0.4834324919235173
Healthy,Astrocyte R,63,4310,0.014617169373549885,713,0.08835904628330996,2.0262450952715954,0.043607284473878724
Primary,Astrocyte TE,69,420,0.16428571428571428,2832,0.024364406779661018,0.5082515057943091,0.04793769718711147
Primary,Astrocyte NT,11,420,0.02619047619047619,1565,0.007028753993610224,0.5082515057943091,0.013829283166855548
Primary,Astrocyte R,340,420,0.8095238095238095,713,0.47685834502103785,0.5082515057943091,0.938233019646033
Recurrent,Astrocyte TE,49,380,0.12894736842105264,2832,0.01730225988700565,0.46550339893409554,0.03716892277612617
Recurrent,Astrocyte NT,21,380,0.05526315789473684,1565,0.0134185303514377,0.46550339893409554,0.028825848279869278
Recurrent,Astrocyte R,310,380,0.8157894736842105,713,0.43478260869565216,0.46550339893409554,0.9340052289440045
