Level_3AC,Gene,Avg.Exp,P.Exp,Groups
Astrocyte R,Fgfr3,1.561373265282233,75.03506311360448,Astrocyte R
Astrocyte R,Fjx1,1.1277270020499839,63.67461430575035,Astrocyte R
Astrocyte R,Gfap,4.357706677312585,99.01823281907434,Astrocyte R
Astrocyte R,Gja1,2.2925959133009397,81.06591865357645,Astrocyte R
Astrocyte R,Gjb6,0.8428987209721837,46.70406732117812,Astrocyte R
Astrocyte R,Gnao1,1.4293135152766796,76.43758765778401,Astrocyte R
Astrocyte R,Gpr37l1,2.6728352732613496,89.90182328190744,Astrocyte R
Astrocyte R,Gria1,0.2664790266970598,18.79382889200561,Astrocyte R
Astrocyte R,Grm3,0.7132566027867862,48.94810659186536,Astrocyte R
Astrocyte R,Ifitm3,1.5522179737406738,72.51051893408135,Astrocyte R
Astrocyte R,Igsf1,0.22198185333211676,18.79382889200561,Astrocyte R
Astrocyte R,Itih3,0.7036520632875124,47.54558204768583,Astrocyte R
Astrocyte R,Lhx2,0.7676739047192452,50.63113604488079,Astrocyte R
Astrocyte R,Lrig1,1.379111349138588,73.07152875175316,Astrocyte R
Astrocyte R,Mfge8,1.2832829203250113,68.86395511921458,Astrocyte R
Astrocyte R,Mlc1,2.3503161137531086,87.37727910238429,Astrocyte R
Astrocyte R,Ntsr2,1.156020399315569,61.57082748948106,Astrocyte R
Astrocyte R,Ptch1,0.5083257277990952,39.55119214586255,Astrocyte R
Astrocyte R,S100a11,1.2947732474543525,63.11360448807854,Astrocyte R
Astrocyte R,S100a6,1.3539126484198787,71.94950911640954,Astrocyte R
Astrocyte R,S1pr3,1.2610483625398452,60.589060308555396,Astrocyte R
Astrocyte R,Slc6a11,1.884206375165536,78.40112201963534,Astrocyte R
Astrocyte R,Slc6a9,0.7658403076792295,51.19214586255259,Astrocyte R
Astrocyte R,Sparc,2.9644777147584893,92.14586255259466,Astrocyte R
Astrocyte R,St6galnac5,0.20125932187651516,16.54978962131837,Astrocyte R
Astrocyte R,Sulf2,1.1444956673605817,61.85133239831697,Astrocyte R
Astrocyte R,Tspan7,2.9616181192598763,95.93267882187938,Astrocyte R
Astrocyte R,Vim,3.6181252786532725,98.03646563814866,Astrocyte R
