gene
Ace2
Slc38a11
Aspn
Enpep
Higd1b
Kcnj8
Abcc9
Rasl12
Vtn
Rem1
Ndufa4l2
Ano1
Art3
Tbx2
Gper1
Atp13a5
Rgs4
Myl9
Cd248
Slc6a20a
Cox4i2
Gja4
Trpc3
Rgs5
Mylk
Notch3
Pdgfrb
Egflam
Gprc5c
Pcdh18
Ecm2
Il34
Pth1r
Gpc3
Foxd1
Gucy1b1
Sod3
Lrrc32
Slc19a1
Angptl2
Heyl
Atp2a3
Gjc1
Ednra
Pde5a
S1pr3
Cald1
Zic1
Kirrel
Ebf1
