gene
ADAMTSL3
AKAP12
BEX1
CACNA1H
CAMK2B
CCND1
CCND2
CDKN2A
CHRNA4
COL18A1
COL19A1
CXADR
DISP2
EEF1A2
FBN2
GAP43
GFRA1
GRM5
IGFBP3
IL1RAP
KCNIP1
LMO4
LRRTM3
LYPLA2
MEGF11
MMP15
MOXD1
MYO16
NAP1L5
OSBPL6
PAK3
PDE3A
PTPRN
RAB3B
RASL11A
RPRM
RTN1
SH2D5
SPRED3
STMN3
SV2C
TNC
VGF
