gene
Slc17a7
Ddn
Hpcal4
Camk2a
Arc
Camkv
Syt1
Slc6a17
Kifc2
Sncb
Snap25
Nptxr
Arpp21
Kif5a
Nrgn
Cplx2
Grin2b
Syp
Psd
Kcnq2
Atp1a3
Adcy1
Sult4a1
Cplx1
Cnksr2
Cdk5r2
Grin1
Kalrn
Ndrg4
Vgf
Eno2
Celf5
Scn2a
Dnm1
Ncs1
Thy1
Kif5c
Jph4
mt-Nd6
Shank3
Camk2n1
Sptbn2
Olfm1
Gadd45g
Syt7
Fbxl16
Agap2
Cx3cl1
Ptprn
Atp1b1
