gene
ABCA9
ADORA3
ADRB2
CAPN3
CCL3L3
CCL4
CCR6
CD180
CD37
CRYBB1
CSF1R
CSF3R
CTSD
ECSCR
FAM102B
GCNT1
GNA15
GOLM1
GPR34
GPR84
HEXB
HPGD
HPGDS
IL1A
ITGAM
KCNK6
LAG3
LRRC3
LTC4S
LY86
P2RY12
P2RY13
PDE3B
PTGS1
RNASE4
SALL1
SELPLG
SGK1
SLC2A5
SLCO2B1
SUSD3
TGFBR1
TLR7
TMEM119
TREM2
