gene
ADCY1
AGAP2
ARC
ARPP21
ATP1A3
ATP1B1
CAMK2A
CAMK2N1
CAMKV
CDK5R2
CELF5
CNKSR2
CPLX1
CPLX2
CX3CL1
DDN
DNM1
ENO2
FBXL16
GADD45G
GRIN1
GRIN2B
HPCAL4
JPH4
KALRN
KCNQ2
KIF5A
KIF5C
KIFC2
NCS1
NDRG4
NPTXR
OLFM1
PSD
PTPRN
SHANK3
SLC17A7
SLC6A17
SNAP25
SNCB
SPTBN2
SULT4A1
SYP
SYT1
SYT7
THY1
VGF
