gene
APOBEC1
C5AR1
CD74
CEBPB
CFB
CTSC
CXCL16
CXCR4
CYBB
CYP4F2
DAB2
EMILIN2
FCGR3A
FCGR3B
GPR35
GPR65
HLA-DQA1
HLA-DQB1
HLA-DRB5
IFI16
IGSF6
IL1B
IRF7
LGALS3
LYZ
MS4A4A
MS4A6A
MS4A7
MSR1
MSRB1
MYOF
OAS1
PLAUR
PLIN2
RUNX3
SIGLEC1
STAB1
TGFBI
TGM2
TMEM106A
ZBP1
