gene
ASF1B
ATAD2
AURKB
BARD1
CDC45
CDCA2
CDCA5
CENPH
CLSPN
DSCC1
E2F7
E2F8
ESCO2
EXO1
FBXO5
HIST1H1D
HIST1H2AJ
HIST1H2AL
HIST2H3D
KIF11
KIF15
MELK
MIS18BP1
MKI67
MXD3
MYBL2
NCAPG
NCAPG2
NDC80
NEIL3
NUSAP1
PKMYT1
RAD51
RAD51AP1
RAD54L
RRM2
SHCBP1
SKA1
SPC25
TCF19
TK1
TOP2A
TTK
UBE2T
