gene
Trbc1
Nkg7
Il2rb
Cd3e
Sh2d2a
Gimap3
Cd3g
Cd2
Fasl
Trbc2
Itk
Skap1
Il18r1
Ctla4
Cd3d
Cd247
Ikzf3
Lck
Lat
Gimap4
Icos
Ctsw
Tnfrsf18
Ptprcap
Zap70
Trac
Tbc1d10c
Gpr68
Ptpn22
Ltb
Sept1
P2ry10
Spn
Grap2
Stat4
Cd69
Acap1
Rhof
Itgb7
Gimap8
Thy1
Gimap9
S1pr4
Rnf125
Nt5e
Camk4
Gimap1
Traf1
Dusp5
S100a10
