gene
Robo4
AU021092
Cldn5
Adgrl4
Degs2
Ushbp1
Slc38a5
Sox18
Srarp
Slco1a4
Cyyr1
Dipk2b
Slc19a3
Ccm2l
Tek
Grrp1
Sox17
Itm2a
Ptprb
Sgpp2
Egfl7
Podxl
Adgrf5
Flt4
Hmcn1
Akr1c14
She
Hspa12b
Foxq1
Rasip1
Erg
Abcb1a
Fgd5
Arhgef15
Flt1
Cxcl12
Cdh5
Dll4
Slc35f2
Tie1
Emcn
Sema3c
Clec14a
Notum
Kdr
Mecom
Wfdc1
Car4
Acer2
Spock2
