gene
ABCC9
ACE2
ANGPTL2
ANO1
ART3
ASPN
ATP13A5
ATP2A3
CD248
COX4I2
EBF1
ECM2
EDNRA
EGFLAM
ENPEP
FOXD1
GJA4
GJC1
GPC3
GPER1
GPRC5C
HEYL
HIGD1B
IL34
KCNJ8
KIRREL
LRRC32
MYL9
MYLK
NDUFA4L2
NOTCH3
PCDH18
PDE5A
PDGFRB
PTH1R
RASL12
REM1
RGS4
RGS5
S1PR3
SLC19A1
SLC38A11
SLC6A20
SOD3
TBX2
TRPC3
VTN
ZIC1
