gene
ASPM
AURKA
BIRC5
BUB1
BUB1B
CCNA2
CCNB2
CDC20
CDC25C
CDCA3
CDCA8
CENPA
CENPE
CENPF
CEP55
CEP89
CKAP2
CKAP2L
CKS2
DEPDC1
DLGAP5
ECT2
EMP1
FOXM1
GTSE1
HMMR
KIF11
KIF18B
KIF20A
KIF22
KIF23
KIF2C
KIF4A
KNSTRN
MKI67
NEK2
NUF2
PBK
PLK1
PRC1
PTTG1
RACGAP1
SPAG5
SPC25
TACC3
TPX2
TUBA1C
UBE2C
