gene
Flt3
Kmo
Btla
Itgae
Napsa
Ifi205
Plbd1
H2-DMb2
Wdfy4
Ciita
Rnase6
Gpr171
Jaml
Traf1
Dpp4
Kynu
Card11
Cytip
Lsp1
Ahr
Map4k1
Crip1
Nr4a3
Gpr132
Plac8
Myo1g
Naaa
Itgb7
Cbfa2t3
Fgr
Ncoa7
Cfp
Coro2a
Dusp5
H2-Ab1
P2ry10
Anpep
Klrk1
Hic1
Nr4a2
Ptger4
Tbc1d8
H2-Eb1
Grasp
Pmaip1
H2-Aa
Pkib
Pirb
Pim1
Map3k14
