gene
S100a9
S100a8
Il1f9
Cxcr2
Hdc
Clec4d
Clec4e
Arg2
Il1r2
Cxcl2
Mmp9
Acod1
Slfn4
Hp
Trem1
Trem3
G0s2
Fpr2
Trim30b
Hcar2
Il1rn
Cd300ld
Slfn1
Mxd1
Sell
Msrb1
Ifitm1
Pglyrp1
Ptgs2
Cass4
Adam8
Gadd45b
Tnfaip2
Gsr
Lilrb4a
Il1b
Slfn2
Plaur
S100a11
Slpi
Ccrl2
C5ar1
Pim1
Fgr
Slc16a3
Srgn
Cd44
Cd80
Pygl
Pilra
