gene
ADAM8
ARG2
C5AR1
CASS4
CCRL2
CD300LD
CD44
CD80
CLEC4D
CLEC4E
CXCL3
CXCR2
FGR
FPR2
G0S2
GADD45B
GSR
HDC
HP
IL1B
IL1R2
IL1RN
IL36G
MMP9
MSRB1
MXD1
PGLYRP1
PILRA
PIM1
PLAUR
PTGS2
PYGL
S100A8
S100A9
SELL
SLC16A3
SLFN12L
SLPI
TNFAIP2
TREM1
