gene
Slc2a5
P2ry12
Gpr34
Ccr6
P2ry13
Adora3
Siglech
Gpr84
Tmem119
Lrrc3
Capn3
Selplg
Hexb
Crybb1
Adrb2
Gcnt1
Lag3
Susd3
Trem2
Fcrls
Tgfbr1
Ecscr
Vsir
Itgam
Cd180
Csf1r
Golm1
Ccl4
Csf3r
Gna15
Rubcnl
Hpgds
Rnase4
Ccl3
Fam102b
Abca9
Il1a
Slco2b1
Ptgs1
Sgk1
Pde3b
Tlr7
Cd37
Ctsd
Kcnk6
Sall1
BC035044
Ltc4s
Ly86
Hpgd
