gene
Dnah3
Tmem212
Cdhr3
Uox
Ccdc153
Dnah1
Dpy19l2
Stoml3
Dthd1
Frmpd2
Spag17
Tcte1
Wdr49
Dnah12
Sntn
Iqca
Ttll6
Fam216b
Zfp474
BC051019
Lrrc36
Crocc2
Cfap73
Fam183b
Got1l1
Akap14
Nme9
Lrrc43
Prr29
Ttc29
Crygn
Fam166b
Slc14a2
Dmkn
Ak7
Rsph14
Daw1
Hydin
Rgs22
Wdr66
Cfap161
Armc4
Ppp1r32
Cfap65
Lrrc74b
Mapk15
Ccdc33
Eppk1
Vwa3b
Cdhr4
