gene
ACAP1
CAMK4
CD2
CD247
CD3D
CD3E
CD3G
CD69
CTLA4
CTSW
DUSP5
FASLG
GIMAP1
GIMAP1-GIMAP5
GIMAP4
GIMAP8
GPR68
GRAP2
ICOS
IKZF3
IL18R1
IL2RB
ITGB7
ITK
LAT
LCK
LTB
NKG7
NT5E
P2RY10
PTPN22
PTPRCAP
RHOF
S100A10
S1PR4
SEPT1
SH2D2A
SKAP1
SPN
STAT4
TBC1D10C
THY1
TNFRSF18
TRAF1
ZAP70
